ID,CharacterLoadoutID,ItemID
18808,1492,45
18809,1492,43
18810,1492,44
18811,1492,6948
18812,1492,2361
18813,1492,159
18814,1492,2070
18815,1493,49
18816,1493,47
18817,1493,48
18818,1493,28979
18819,1493,2092
18820,1493,2070
18821,1493,6948
18822,1494,6098
18823,1494,52
18824,1494,53
18825,1494,51
18826,1494,36
18827,1494,159
18828,1494,2070
18829,1494,6948
18830,1495,56
18831,1495,1395
18832,1495,55
18833,1495,35
18834,1495,6096
18835,1495,2070
18836,1495,159
18837,1495,6948
18838,1496,57
18839,1496,6097
18840,1496,1396
18841,1496,2092
18842,1496,59
18843,1496,4604
18844,1496,159
18845,1496,6948
18846,1497,6125
18847,1497,139
18848,1497,140
18849,1497,6948
18850,1497,12282
18851,1497,117
18852,1498,127
18853,1498,6126
18854,1498,6127
18855,1498,159
18856,1498,37
18857,1498,6948
18858,1498,2101
18859,1498,2504
18860,1498,117
18861,1498,2512
18862,1499,2105
18863,1499,120
18864,1499,121
18865,1499,25861
18866,1499,2092
18867,1499,117
18868,1499,6948
18869,1500,154
18870,1500,153
18871,1500,6948
18872,1500,36
18873,1500,117
18874,1500,159
18875,1501,6129
18876,1501,1396
18877,1501,59
18878,1501,2092
18879,1501,6948
18880,1501,117
18881,1501,159
18882,1502,38
18883,1502,39
18884,1502,40
18885,1502,12282
18886,1502,6948
18887,1502,117
18888,1503,6117
18889,1503,6118
18890,1503,43
18891,1503,2361
18892,1503,4540
18893,1503,159
18894,1503,6948
18895,1504,148
18896,1504,147
18897,1504,129
18898,1504,37
18899,1504,159
18900,1504,2102
18901,1504,2508
18902,1504,2516
18903,1504,117
18904,1504,6948
18905,1505,6098
18906,1505,53
18907,1505,52
18908,1505,51
18909,1505,36
18910,1505,159
18911,1505,4540
18912,1505,6948
18913,1506,25
18914,1506,6120
18915,1506,6121
18916,1506,6122
18917,1506,2362
18918,1506,117
18919,1506,6948
18920,1507,2092
18921,1507,148
18922,1507,147
18923,1507,129
18924,1507,159
18925,1507,2504
18926,1507,2101
18927,1507,2512
18928,1507,117
18929,1507,6948
18930,1508,2092
18931,1508,49
18932,1508,48
18933,1508,47
18934,1508,4540
18935,1508,28979
18936,1508,6948
18937,1509,36
18938,1509,6119
18939,1509,52
18940,1509,51
18941,1509,53
18942,1509,2070
18943,1509,159
18944,1509,6948
18945,1510,6125
18946,1510,139
18947,1510,2361
18948,1510,6948
18949,1510,4540
18950,1511,127
18951,1511,6126
18952,1511,6948
18953,1511,37
18954,1511,159
18955,1511,2508
18956,1511,2102
18957,1511,2516
18958,1511,117
18959,1512,154
18960,1512,153
18961,1512,6948
18962,1512,36
18963,1512,4604
18964,1512,159
18965,1513,35
18966,1513,6139
18967,1513,6124
18968,1513,159
18969,1513,4536
18970,1513,6948
18971,1514,3661
18972,1514,6123
18973,1514,6124
18974,1514,159
18975,1514,4536
18976,1514,6948
18977,1515,2092
18978,1515,49
18979,1515,48
18980,1515,47
18981,1515,4540
18982,1515,25861
18983,1515,6948
18984,1516,49
18985,1516,48
18986,1516,47
18987,1516,2092
18988,1516,28979
18989,1516,117
18990,1516,6948
18991,1517,56
18992,1517,1395
18993,1517,6096
18994,1517,55
18995,1517,35
18996,1517,4536
18997,1517,159
18998,1517,6948
18999,1518,57
19000,1518,6097
19001,1518,1396
19002,1518,59
19003,1518,2092
19004,1518,159
19005,1518,4604
19006,1518,6948
19007,1519,2092
19008,1519,117
19009,1519,6136
19010,1519,6137
19011,1519,6138
19012,1519,25861
19013,1519,6948
19014,1520,37
19015,1520,4604
