ID,ContinentID,ParentAreaID,AreaBit,Flags,SoundProviderPref,SoundProviderPrefUnderwater,AmbienceID,ZoneMusic,IntroSound,ExplorationLevel,AreaName_lang[0],FactionGroupMask
134,0,1,214,0,0,11,0,8,0,10,Gol'Bolar Quarry,0
135,0,1,215,0,0,11,0,8,0,0,Frostmane Hold,0
136,0,1,216,0,0,11,0,0,0,5,The Grizzled Den,0
137,0,1,217,0,0,11,0,8,0,7,Brewnall Village,0
141,1,0,220,0,0,11,48,11,0,-1,Teldrassil,0
142,0,38,221,0,0,11,0,1,0,15,Ironband's Excavation Site,0
143,0,38,222,0,0,11,0,1,0,18,Mo'grosh Stronghold,0
144,0,38,223,0,0,11,0,1,0,10,Thelsamar,0
145,0,38,224,0,0,11,0,1,0,18,Algaz Gate,0
146,0,38,225,0,0,11,230,1,0,15,Stonewrought Dam,0
147,0,38,226,0,0,11,0,1,0,15,The Farstrider Lodge,0
150,0,11,229,0,0,11,0,3,0,20,Menethil Harbor,0
152,0,85,230,0,0,11,0,2,0,0,The Bulwark,0
154,0,85,231,0,0,11,0,15,0,0,Deathknell,0
155,0,85,232,0,0,11,0,2,0,-1,Night Web's Hollow,0
156,0,85,233,0,0,11,0,2,0,6,Solliden Farmstead,0
157,0,85,234,0,0,11,0,15,0,8,Agamand Mills,0
158,0,85,235,0,0,11,0,15,0,-1,Agamand Family Crypt,0
159,0,85,236,0,0,11,0,15,0,5,Brill,0
160,0,85,237,0,0,11,0,2,0,12,Whispering Gardens,0
161,0,85,238,0,0,11,0,2,0,0,Terrace of Repose,0
162,0,85,239,0,0,11,0,2,0,7,Brightwater Lake,0
164,0,85,241,0,0,11,0,2,0,7,Garren's Haunt,0
165,0,85,242,0,0,11,0,15,0,5,Balnir Farmstead,0
166,0,85,243,0,0,11,0,2,0,5,Cold Hearth Manor,0
168,0,85,245,0,0,11,0,2,0,8,The North Coast,0
170,0,0,246,0,0,11,31,2,0,-1,Lordamere Lake,0
172,0,130,247,0,0,11,0,2,0,18,Fenris Isle,0
189,0,1,249,0,0,11,0,8,0,5,Steelgrill's Depot,0
190,0,28,250,0,0,11,0,0,0,-1,Hearthglenn,0
193,0,28,252,0,0,11,0,15,0,-1,Ruins of Anderhol,0
195,0,28,253,0,0,11,0,0,0,-1,School of Necromancy,0
197,0,28,254,0,0,11,0,15,0,-1,Sorrow Hill,0
198,0,28,255,0,0,11,0,0,0,-1,The Weeping Cave,0
199,0,28,256,0,0,11,0,0,0,-1,Felstone Field,0
200,0,28,257,0,0,11,0,0,0,-1,Dalson's Tears,0
201,0,28,258,0,0,11,0,0,0,-1,Gahrron's Withering,0
202,0,28,259,0,0,11,0,10,0,-1,The Writhing Haunt,0
203,0,28,260,0,0,11,0,0,0,-1,Mardenholde Keep,0
205,0,11,262,0,0,11,0,0,0,28,Dun Modr,0
206,36,0,263,0,0,11,47,9,0,-1,Westfall,0
207,36,0,264,0,0,11,0,9,0,-1,The Great Sea,0
208,36,0,265,0,76,11,34,0,0,-1,Unused Ironcladcove,0
209,33,0,266,0,0,11,28,2,0,-1,Shadowfang,0
251,0,46,2,0,0,11,0,0,0,-1,Flame Crest,0
252,0,46,3,0,0,11,0,10,0,-1,Blackrock Stronghold,0
253,0,46,4,0,0,11,0,0,0,-1,The Pillar of Ash,0
255,0,46,5,0,0,11,0,10,0,-1,Altar of Storms,0
256,1,141,6,0,0,11,0,11,0,-1,Aldrassil,0
257,1,141,7,0,0,11,0,11,0,-1,Shadowthread Cave,0
258,1,141,8,0,0,11,0,11,0,-1,Fel Rock,0
259,1,141,9,0,0,11,0,11,0,5,Lake Al'Ameth,0
260,1,141,10,0,0,11,0,11,0,6,Starbreeze Village,0
262,1,141,12,0,0,11,0,11,0,-1,Ban'ethil Barrow Den,0
263,1,141,13,0,0,11,0,0,0,-1,The Cleft,0
264,1,141,14,0,0,11,0,11,0,9,The Oracle Glade,0
265,1,141,15,0,0,11,0,0,0,0,Wellspring River,0
266,1,141,16,0,0,11,0,0,0,9,Wellspring Lake,0
267,0,0,17,0,0,11,31,1,0,-1,Hillsbrad Foothills,0
269,0,0,18,0,0,11,31,0,0,18,Dun Algaz,0
272,0,267,19,0,0,11,0,1,0,20,Tarren Mill,0
275,0,267,20,0,0,11,0,1,0,21,Durnholde Keep,0
278,0,36,22,0,0,11,0,1,102,32,Lordamere Internment Camp,0
279,0,36,23,0,0,11,0,1,81,30,Dalaran,0
281,0,36,25,0,0,11,37,10,121,36,Ruins of Alterac,0
282,0,36,26,0,0,11,37,10,0,0,Crushridge Hold,0
283,0,36,27,0,0,11,37,10,0,0,Slaughter Hollow,0
284,0,36,28,0,0,11,0,1,0,0,The Uplands,0
285,0,267,29,0,0,11,0,2,0,0,Southpoint Tower,0
286,0,267,30,0,0,11,0,1,0,22,Hillsbrad Fields,0
287,0,267,31,0,0,11,0,1,0,-1,Hillsbrad,0
288,0,267,32,0,0,11,0,195,141,0,Azurelode Mine,0
290,0,267,34,0,0,11,0,1,0,0,Dun Garok,0
293,0,0,35,0,0,11,31,1,0,30,Thoradin's Wall,0
294,0,267,36,0,0,11,0,1,0,30,Eastern Strand,0
297,0,33,38,0,0,11,0,0,0,0,Jaguero Isle,0
298,0,11,39,0,0,11,0,3,0,-1,Baradin Bay,0
299,0,11,40,0,0,11,0,0,0,-1,Menethil Bay,0
300,0,8,41,0,0,11,0,0,0,-1,Mistyreed Strand,0
301,0,33,42,0,0,11,0,3,0,-1,The Savage Coast,0
