"ID","Directory","PVP","MapName_enUS","MapName_enGB","MapName_koKR","MapName_frFR","MapName_deDE","MapName_enCN","MapName_zhCN","MapName_enTW","MapName_Mask","MinLevel","MaxLevel","MaxPlayers","Field08","Field09","Field10","Unk ?AreaTableID?","MapDescription0_enUS","MapDescription0_enGB","MapDescription0_koKR","MapDescription0_frFR","MapDescription0_deDE","MapDescription0_enCN","MapDescription0_zhCN","MapDescription0_enTW","MapDescription0_Mask","MapDescription1_enUS","MapDescription1_enGB","MapDescription1_koKR","MapDescription1_frFR","MapDescription1_deDE","MapDescription1_enCN","MapDescription1_zhCN","MapDescription1_enTW","MapDescription1_Mask","Field_1_5_0_4442_014","Field_1_7_0_4671_015"
"429","DireMaul","0","Dire Maul","","","","","","","","2031646","0","0","0","-1","0","0","2557","","","","","","","","","2031644","","","","","","","","","2031644","82","0"
"169","EmeraldDream","0","Emerald Dream","","","","","","","","2031646","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","0","0"
"209","TanarisInstance","0","Zul'farrak","","","","","","","","2031646","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","146","0"
"309","Zul'gurub","0","Zul'gurub","","","","","","","","2031646","0","0","0","-1","0","0","1977","","","","","","","","","2031644","","","","","","","","","2031644","42","0"
"329","Stratholme","0","Stratholme","","","","","","","","2031646","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","101","0"
"369","DeeprunTram","0","Deeprun Tram","","","","","","","","2031646","0","0","0","-1","0","0","2257","","","","","","","","","2031644","","","","","","","","","2031644","4","0"
"389","OrgrimmarInstance","0","OrgrimmarInstance","","","","","","","","2031630","0","0","0","-1","0","0","2437","","","","","","","","","2031644","","","","","","","","","2031644","3","0"
"0","Azeroth","0","Eastern Kingdoms","","","","","","","","2031646","0","0","0","-1","0","0","0","","","","","","","","","2031646","","","","","","","","","2031646","4","0"
"1","Kalimdor","0","Kalimdor","","","","","","","","8323102","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","3","0"
"13","test","0","Testing","","","","","","","","8323102","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","0","0"
"25","ScottTest","0","Scott Test","","","","","","","","8323102","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","0","0"
"29","Test","0","CashTest","","","","","","","","8323102","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","0","0"
"33","Shadowfang","0","Shadowfang","","","","","","","","8323102","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","42","0"
"34","StormwindJail","0","StormwindJail","","","","","","","","8323102","0","0","0","-1","0","0","717","","","","","","","","","2031644","","","","","","","","","2031644","23","0"
"35","StormwindPrison","0","StormwindPrison","","","","","","","","8323102","0","0","0","-1","0","0","717","","","","","","","","","2031644","","","","","","","","","2031646","23","0"
"36","DeadminesInstance","0","DeadminesInstance","","","","","","","","8323102","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","141","0"
"37","PVPZone02","1","Azshara Crater","","","","","","","","983054","10","20","30","0","-978778112","-986431488","0","Crush the Alliance!","","","","","","","","2031646","Defend yourself from the onslaught of the Horde!","","","","","","","","2031647","25","0"
