"ID","Directory","InstanceType","PVP","MapName_enUS","MapName_enGB","MapName_koKR","MapName_frFR","MapName_deDE","MapName_enCN","MapName_zhCN","MapName_enTW","MapName_Mask","MinLevel","MaxLevel","MaxPlayers","Field08","Field09","Field10","AreaTableID","MapDescription0_enUS","MapDescription0_enGB","MapDescription0_koKR","MapDescription0_frFR","MapDescription0_deDE","MapDescription0_enCN","MapDescription0_zhCN","MapDescription0_enTW","MapDescription0_Mask","MapDescription1_enUS","MapDescription1_enGB","MapDescription1_koKR","MapDescription1_frFR","MapDescription1_deDE","MapDescription1_enCN","MapDescription1_zhCN","MapDescription1_enTW","MapDescription1_Mask","LoadingScreenID","RaidOffset","Field16","Field17"
"0","Azeroth","0","0","Eastern Kingdoms","","","","","","","","4128830","0","0","0","-1","0","0","0","","","","","","","","","4128830","","","","","","","","","4128830","4","0","1","1065353216"
"1","Kalimdor","0","0","Kalimdor","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","3","0","1","1065353216"
"13","test","0","0","Testing","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","0","0","1","1065353216"
"25","ScottTest","0","0","Scott Test","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","0","0","1","1065353216"
"29","Test","1","0","CashTest","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","0","0","1","1065353216"
"30","PVPZone01","3","1","Alterac Valley","","","","","","","","4128830","51","60","40","-1","1060991140","1051595899","0","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall�s own clan of orcs, the Frostwolves. The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches, and links to their ancestral past. The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.","","","","","","","","4128830","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall�s own clan of orcs, the Frostwolves. The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches, and links to their ancestral past. The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.","","","","","","","","4128830","104","0","0","1065353216"
"33","Shadowfang","1","0","Shadowfang Keep","","","","","","","","4128830","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","204","0","1","1065353216"
"34","StormwindJail","1","0","Stormwind Stockade","","","","","","","","4128830","0","0","0","-1","0","0","717","","","","","","","","","4128828","","","","","","","","","4128828","194","0","1","1065353216"
"35","StormwindPrison","0","0","<unused>StormwindPrison","","","","","","","","4128830","0","0","0","-1","0","0","717","","","","","","","","","4128828","","","","","","","","","4128828","23","0","1","1065353216"
"36","DeadminesInstance","1","0","Deadmines","","","","","","","","4128830","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","142","0","1","1065353216"
"37","PVPZone02","0","1","Azshara Crater","","","","","","","","4128830","10","20","30","0","-978778112","-986431488","0","Crush the Alliance!","","","","","","","","4128830","Defend yourself from the onslaught of the Horde!","","","","","","","","4128831","25","0","1","1065353216"
"42","Collin","0","0","Collin's Test","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","0","0","1","1065353216"
"43","WailingCaverns","1","0","Wailing Caverns","","","","","","","","4128830","0","0","0","-1","0","0","718","","","","","","","","","4128828","","","","","","","","","4128828","143","0","1","1065353216"
"44","Monastery","1","0","<unused> Monastery","","","","","","","","4128830","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","42","0","1","1065353216"
"47","RazorfenKraulInstance","1","0","Razorfen Kraul","","","","","","","","4128830","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","188","0","1","1065353216"
"48","Blackfathom","1","0","Blackfathom Deeps","","","","","","","","4128830","0","0","0","-1","0","0","719","","","","","","","","","4128828","","","","","","","","","4128828","196","0","1","1065353216"
"70","Uldaman","1","0","Uldaman","","","","","","","","4128830","0","0","0","-1","0","0","1337","","","","","","","","","4128828","","","","","","","","","4128828","144","0","1","1065353216"
"90","GnomeragonInstance","1","0","Gnomeregan","","","","","","","","4128830","0","0","0","-1","0","0","721","","","","","","","","","4128828","","","","","","","","","4128828","193","0","1","1065353216"
"109","SunkenTemple","1","0","Sunken Temple","","","","","","","","4128830","0","0","0","-1","0","0","1477","","","","","","","","","4128828","","","","","","","","","4128828","191","0","1","1065353216"
"129","RazorfenDowns","1","0","Razorfen Downs","","","","","","","","4128830","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","145","0","1","1065353216"
"169","EmeraldDream","2","0","Emerald Dream","","","","","","","","4128830","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","0","0","1","1065353216"
"189","MonasteryInstances","1","0","Scarlet Monastery","","","","","","","","4128830","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","190","0","1","1065353216"
"209","TanarisInstance","1","0","Zul'Farrak","","","","","","","","4128830","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","146","0","1","1065353216"
"229","BlackRockSpire","1","0","Blackrock Spire","","","","","","","","4128830","0","0","0","0","0","0","1583","","","","","","","","","4128828","","","","","","","","","4128828","189","0","1","1065353216"
"230","BlackrockDepths","1","0","Blackrock Depths","","","","","","","","4128830","0","0","0","0","0","0","1584","","","","","","","","","4128828","","","","","","","","","4128828","103","0","1","1065353216"
"249","OnyxiaLairInstance","2","0","Onyxia's Lair","","","","","","","","4128830","0","0","0","-1","0","0","2159","","","","","","","","","4128828","","","","","","","","","4128828","61","0","1","1065353216"
"269","CavernsOfTime","1","0","Caverns of Time","","","","","","","","4128830","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","4","0","1","1065353216"
"289","SchoolofNecromancy","1","0","Scholomance","","","","","","","","4128830","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","102","0","1","1065353216"
"309","Zul'gurub","2","0","Zul'Gurub","","","","","","","","4128830","0","0","0","-1","0","0","1977","","","","","","","","","4128828","","","","","","","","","4128828","161","0","1","1065353216"
"329","Stratholme","1","0","Stratholme","","","","","","","","4128830","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","101","0","1","1065353216"
"349","Mauradon","1","0","Maraudon","","","","","","","","2031678","0","0","0","-1","0","0","2100","","","","","","","","","4128828","","","","","","","","","4128828","81","0","1","1065353216"
"369","DeeprunTram","0","0","Deeprun Tram","","","","","","","","4128830","0","0","0","-1","0","0","2257","","","","","","","","","4128828","","","","","","","","","4128828","205","0","1","1065353216"
"389","OrgrimmarInstance","1","0","Ragefire Chasm","","","","","","","","4128830","0","0","0","-1","0","0","2437","","","","","","","","","4128828","","","","","","","","","4128828","195","0","1","1065353216"
"409","MoltenCore","2","0","Molten Core","","","","","","","","4128830","0","0","0","-1","0","0","2717","","","","","","","","","4128828","","","","","","","","","4128828","192","0","1","1065353216"
"429","DireMaul","1","0","Dire Maul","","","","","","","","4128830","0","0","0","-1","0","0","2557","","","","","","","","","4128828","","","","","","","","","4128828","82","0","1","1065353216"
"449","AlliancePVPBarracks","0","0","Alliance PVP Barracks","","","","","","","","4128830","0","0","0","-1","0","0","2918","","","","","","","","","4128828","","","","","","","","","4128828","181","0","1","1065353216"
"450","HordePVPBarracks","0","0","Horde PVP Barracks","","","","","","","","4128830","0","0","0","-1","0","0","2917","","","","","","","","","4128828","","","","","","","","","4128828","182","0","1","1065353216"
"451","development","0","0","Development Land","","","","","","","","4128830","0","0","0","-1","0","0","0","","","","","","","","","4128828","","","","","","","","","4128828","21","0","1","1065353216"
"469","BlackwingLair","2","0","Blackwing Lair","","","","","","","","4128830","0","0","0","-1","0","0","2677","","","","","","","","","4128828","","","","","","","","","4128828","141","0","1","1065353216"
"489","PVPZone03","3","1","Warsong Gulch","","","","","","","","4128830","10","60","10","-1","0","0","3277","A valley bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and the Alliance. Orcs use their Warsong Mill to cut lumber reaped from Ashenvale, provoking the night elves of Silverwing Hold. Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","","","","","","","","4128830","A valley bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and the Alliance. Orcs use their Warsong Mill to cut lumber reaped from Ashenvale, provoking the night elves of Silverwing Hold. Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","","","","","","","","4128830","122","10","1","1065353216"
"509","AhnQiraj","2","0","Ruins of Ahn'Qiraj","","","","","","","","4128830","0","0","0","-1","0","0","3429","","","","","","","","","4128812","","","","","","","","","4128828","184","0","1","1065353216"
"529","PVPZone04","3","1","Arathi Basin","","","","","","","","4128830","20","60","15","-1","0","0","3358","The Arathi Basin is one of the main staging points of war between the Humans and the Forsaken in Azeroth. The League of Arathor seek to reclaim lost lands for their benefactors in Stormwind, while the Defilers – elite troopers under the watchful eye of Varimathras – seek to sever the vital connection between the Humans and their Dwarven allies to the south.","","","","","","","","4128830","The Arathi Basin is one of the main staging points of war between the Humans and the Forsaken in Azeroth. The League of Arathor seek to reclaim lost lands for their benefactors in Stormwind, while the Defilers – elite troopers under the watchful eye of Varimathras – seek to sever the vital connection between the Humans and their Dwarven allies to the south.","","","","","","","","4128830","183","10","1","1067450368"
"531","AhnQirajTemple","2","0","Ahn'Qiraj Temple","","","","","","","","4128830","0","0","0","-1","0","0","3428","","","","","","","","","4128812","","","","","","","","","4128828","185","0","1","1065353216"
"533","Stratholme Raid","2","0","Naxxramas","","","","","","","","4128830","0","0","0","-1","0","0","3456","","","","","","","","","4128780","","","","","","","","","4128780","197","0","1","1065353216"
