ID,MapAreaID,AreaID[0],AreaID[1],AreaID[2],AreaID[3],MapPointX,MapPointY,TextureName,TextureWidth,TextureHeight,OffsetX,OffsetY,HitRectTop,HitRectLeft,HitRectBottom,HitRectRight
92,41,260,0,0,0,0,0,STARBREEZEVILLAGE,200,200,561,292,345,605,425,710
93,41,264,0,0,0,0,0,THEORACLEGLADE,170,240,272,127,170,350,315,410
94,41,266,265,0,0,0,0,WELLSPRINGLAKE,180,256,377,93,165,415,310,525
125,30,9,0,0,0,0,0,NORTHSHIREVALLEY,256,256,381,147,190,425,375,600
129,30,88,0,0,0,0,0,EASTVALELOGGINGCAMP,256,210,704,330,400,775,485,900
132,30,86,0,0,0,0,0,STONECAIRNLAKE,310,256,587,190,250,675,415,830
103,27,137,0,0,0,0,0,BREWNALLVILLAGE,115,115,252,249,275,280,340,330
104,27,135,0,0,0,0,0,FROSTMANEHOLD,128,128,217,287,315,260,375,305
105,27,808,0,0,0,0,0,NORTHERNGATEOUTPOST,128,165,759,173,205,800,300,860
107,27,134,0,0,0,0,0,GOLBOLARQUARRY,170,170,608,291,340,640,430,735
108,27,212,716,0,0,0,0,HELMSBEDLAKE,160,175,694,273,315,730,410,810
109,27,803,0,0,0,0,0,AMBERSTILLRANCH,128,128,573,280,315,605,360,665
110,27,804,0,0,0,0,0,THETUNDRIDHILLS,155,128,522,322,355,555,410,645
111,27,138,0,0,0,0,0,MISTYPINEREFUGE,128,165,502,221,245,545,325,605
112,27,809,0,0,0,0,0,IRONFORGE,195,185,410,179,205,440,295,550
113,27,131,189,0,0,0,0,KHARANOS,200,200,386,294,515,445,390,555
115,27,802,0,0,0,0,0,SHIMMERRIDGE,128,190,347,163,220,380,315,440
116,27,801,0,0,0,0,0,CHILLBREEZEVALLEY,180,128,274,296,320,320,390,400
117,27,800,0,0,0,0,0,COLDRIDGEPASS,150,128,295,385,420,320,490,380
184,9,818,0,0,0,0,0,PALEMANEROCK,128,205,303,307,355,330,475,400
121,30,80,55,0,0,0,0,STORMWIND,445,410,46,0,150,150,340,370
122,30,87,0,0,0,0,0,GOLDSHIRE,240,220,250,270,400,370,465,455
131,30,18,0,0,0,0,0,CRYSTALLAKE,225,220,422,332,380,450,475,605
182,9,220,221,0,0,0,0,REDCLOUDMESA,470,243,270,425,480,340,625,560
186,9,222,0,0,0,0,0,BLOODHOOFVILLAGE,256,200,367,303,345,415,445,535
188,9,396,0,0,0,0,0,WINTERHOOFWATERWELL,170,128,458,369,410,505,470,580
190,9,821,0,0,0,0,0,THEROLLINGPLAINS,256,190,523,356,410,575,495,685
192,9,360,0,0,0,0,0,THEVENTURECOMINE,225,235,532,238,280,585,390,650
194,9,224,0,0,0,0,0,RAVAGEDCARAVAN,128,120,473,260,285,505,345,585
196,9,820,0,0,0,0,0,THEGOLDENPLAINS,215,240,428,80,120,485,280,575
200,9,404,0,0,0,0,0,BAELDUNDIGSITE,210,180,255,214,260,290,360,385
202,9,470,0,0,0,0,0,THUNDERBLUFF,256,240,256,59,105,295,265,480
204,9,398,0,0,0,0,0,WILDMANEWATERWELL,185,128,291,0,50,330,115,460
206,9,225,0,0,0,0,0,REDROCKS,205,230,502,16,75,555,195,670
208,9,819,0,0,0,0,0,WINDFURYRIDGE,205,128,395,0,45,450,115,555
221,20,152,0,0,0,0,0,BULWARK,230,205,698,362,380,770,550,905
224,20,459,0,0,0,0,0,SCARLETWATCHPOST,175,247,689,104,114,740,325,820
225,20,167,0,0,0,0,0,CRUSADEROUTPOST,173,128,694,289,292,708,395,853
226,20,165,0,0,0,0,0,BALNIRFARMSTEAD,216,179,630,326,335,664,489,795
227,20,162,0,0,0,0,0,BRIGHTWATERLAKE,201,288,587,139,165,633,398,735
228,20,153,0,0,0,0,0,RUINSOFLORDAERON,256,237,492,361,406,547,551,693
229,20,164,0,0,0,0,0,GARRENSHAUNT,174,220,497,145,182,531,328,627
230,20,159,0,0,0,0,0,BRILL,128,158,537,299,320,560,418,635
231,20,166,0,0,0,0,0,COLDHEARTHMANOR,150,128,474,327,365,502,436,575
232,20,811,0,0,0,0,0,NIGHTMAREVALE,243,199,363,349,396,401,490,547
233,20,810,0,0,0,0,0,STILLWATERPOND,186,128,395,277,307,429,378,532
234,20,157,0,0,0,0,0,AGAMANDMILLS,256,210,335,139,183,384,303,522
235,20,156,0,0,0,0,0,SOLLIDENFARMSTEAD,256,156,239,250,290,284,371,437
236,20,154,0,0,0,0,0,DEATHKNELL,245,205,227,328,366,279,488,411
242,4,363,0,0,0,0,0,VALLEYOFTRIALS,215,215,355,320,395,395,500,495
