ID,Effect[0],Effect[1],Effect[2],EffectPointsMin[0],EffectPointsMin[1],EffectPointsMin[2],EffectPointsMax[0],EffectPointsMax[1],EffectPointsMax[2],EffectArg[0],EffectArg[1],EffectArg[2],Name_lang[0],ItemVisual,Flags
193,3,0,0,0,0,0,0,0,0,7595,0,0,+12 Beast Slaying,0,0
194,3,0,0,0,0,0,0,0,0,7596,0,0,+14 Beast Slaying,0,0
197,3,0,0,0,0,0,0,0,0,7599,0,0,Critical Hit +3%,0,0
198,3,0,0,0,0,0,0,0,0,7600,0,0,Critical Hit +4%,0,0
201,3,0,0,0,0,0,0,0,0,7615,0,0,10% On Get Hit: Shadow Bolt (30 Damage),0,0
202,3,0,0,0,0,0,0,0,0,7616,0,0,10% On Get Hit: Shadow Bolt (40 Damage),0,0
203,3,0,0,0,0,0,0,0,0,7617,0,0,10% On Get Hit: Shadow Bolt (50 Damage),0,0
204,3,0,0,0,0,0,0,0,0,7618,0,0,10% On Get Hit: Shadow Bolt (60 Damage),0,0
205,3,0,0,0,0,0,0,0,0,7619,0,0,10% On Get Hit: Shadow Bolt (70 Damage),0,0
206,3,0,0,0,0,0,0,0,0,7675,0,0,Increases Holy Effects +2,0,0
207,3,0,0,0,0,0,0,0,0,7676,0,0,Increases Holy Effects +4,0,0
208,3,0,0,0,0,0,0,0,0,7677,0,0,Increases Holy Effects +6,0,0
209,3,0,0,0,0,0,0,0,0,7678,0,0,Increases Holy Effects +8,0,0
210,3,0,0,0,0,0,0,0,0,7679,0,0,Increases Holy Effects +10,0,0
211,3,0,0,0,0,0,0,0,0,7680,0,0,Increases Holy Effects +12,0,0
212,3,0,0,0,0,0,0,0,0,7681,0,0,Increases Holy Effects +14,0,0
213,3,0,0,0,0,0,0,0,0,7683,0,0,Increase Fire Effects +2,0,0
214,3,0,0,0,0,0,0,0,0,7684,0,0,Increases Fire Effects +4,0,0
215,3,0,0,0,0,0,0,0,0,7685,0,0,Increases Fire Effects +6,0,0
216,3,0,0,0,0,0,0,0,0,7686,0,0,Increases Fire Effects +8,0,0
217,3,0,0,0,0,0,0,0,0,7687,0,0,Increases Fire Effects +10,0,0
218,3,0,0,0,0,0,0,0,0,7688,0,0,Increases Fire Damage +12,0,0
220,3,0,0,0,0,0,0,0,0,7690,0,0,Increases Nature Effects +2,0,0
221,3,0,0,0,0,0,0,0,0,7691,0,0,Increases Nature Effects +4,0,0
222,3,0,0,0,0,0,0,0,0,7692,0,0,Increases Nature Effects +6,0,0
