ID,Importance,Icon,FactionID,Pos[0],Pos[1],Pos[2],ContinentID,Flags,AreaID,Name_lang[0]
27,3,6,84,-6392.65,-3158,299.765,0,5,0,Angor Fortress
1,3,6,0,-6134.2783,383.7634,399.25397,0,5,0,Anvilmar
40,3,4,0,-14383.3,487.139,-29.5617,0,13,0,Booty Bay
2,3,6,0,2249.85,278.41385,34.11371,0,5,0,Brill
3,3,4,0,-10564.7,-1170.65,28.0505,0,13,-1,Darkshire
4,3,6,0,1879.8323,1588.2028,90.17196,0,5,0,Deathknell
5,3,6,0,-4191.0234,-2373.1401,205.15083,0,5,0,Dun Algaz
6,3,6,0,-2610.2583,-2350.5583,81.59118,0,5,0,Dun Modr
7,3,6,0,-9480.089,63.521755,56.17569,0,5,0,Goldshire
41,3,4,83,-12378.4,185.734,3.05513,0,13,0,Grom'gol
25,3,6,83,-991.57,-3528.34,56.5482,0,5,0,Hammerfall
8,1,5,0,-5021,-834.059,495.319,0,29,-1,Ironforge
26,3,6,83,-6676.42,-2186.68,245.829,0,5,0,Kargath
9,2,6,0,-5585.9507,-482.12653,397.01672,0,5,0,Kharanos
10,3,4,0,-9227.69,-2201.47,63.9334,0,13,-1,Lakeshire
11,3,4,0,-3672.7,-828.455,9.89915,0,13,-1,Menethil Harbor
12,3,6,0,-11017.066,1510.168,43.16575,0,5,0,Moonbrook
13,3,6,0,-8896.159,-179.32834,80.290924,0,5,0,Northshire Abbey
14,3,6,0,-10752.526,310.43338,40.16275,0,5,0,Raven Hill
24,3,6,84,-1251.05,-2526.81,20.7117,0,5,0,Refuge Pointe
15,3,4,0,-10503.7,1027.76,55.5831,0,13,-1,Sentinel Hill
22,3,6,0,-803.031,-531.727,15.9654,0,5,0,Southshore
16,3,5,0,-9153.77,364.057,90.4829,0,29,-1,Stormwind
23,3,6,0,-27.0354,-900.562,55.9603,0,5,0,Tarren Mill
17,3,4,0,508.073,1619.02,125.272,0,13,-1,The Sepulcher
18,4,5,0,1849.69,235.699,61.6564,0,29,-1,The Undercity
19,1,4,0,-5349.27,-2959.91,323.627,0,13,-1,Thelsamar
36,3,4,84,10462.7,805.993,1312.66,1,5,188,Aldrassil
42,3,4,84,2720.43,-382.391,107.09,1,0,0,Astranaar
28,3,6,83,-2323.92,-394.981,-9.12757,1,5,0,Bloodhoof Village
30,3,6,83,-2906.49,-253.607,52.9407,1,5,0,Camp Narache
38,3,4,84,9951.75,2254.5,1335.42,1,25,-1,Darnassus
37,3,4,84,9787.99,949.897,1306.73,1,1,-1,Dolanaar
46,3,4,83,-5454.07,-2445.5,90.1133,1,13,0,Freewind Post
33,3,4,83,1381.77,-4371.16,26.0233,1,29,-1,Orgrimmar
39,3,4,0,-951.364,-3680.07,8.04018,1,13,0,Ratchet
31,3,6,83,312.659,-4745.52,9.54726,1,5,0,Razor Hill
34,3,6,83,-819.492,-4918.24,19.3401,1,5,0,Sen'jin Village
44,3,4,84,2658.78,1449.71,226.135,1,13,0,Stonetalon Peak
43,3,4,83,-184.314,-320.91,9.58324,1,13,0,Sun Rock Retreat
45,3,4,84,-4510.03,-779.474,-41.5353,1,13,0,Thalanaar
35,3,6,83,-455.9,-2652.15,95.5865,1,13,0,The Crossroads
32,3,6,83,-604.098,-4202.92,38.7281,1,5,0,The Den
29,3,4,83,-1205.41,29.4214,126.347,1,29,-1,Thunder Bluff
20,0,0,0,-448.982,-1028.22,431.971,37,1,0,Alliance
21,0,0,0,-669.134,-483.289,387.273,37,1,0,Horde
