ID,ContinentID,ParentAreaID,AreaBit,Flags,SoundProviderPref,SoundProviderPrefUnderwater,AmbienceID,ZoneMusic,IntroSound,ExplorationLevel,AreaName_lang[0],AreaName_lang[1],AreaName_lang[2],AreaName_lang[3],AreaName_lang[4],AreaName_lang[5],AreaName_lang[6],AreaName_lang[7],AreaName_lang_mask,FactionGroupMask
327,0,45,0,0,11,0,8,0,0,-1,Faldir's Cove,,,,,,,,7274498,0
330,0,0,0,0,11,44,0,0,0,-1,Thandol Span,,,,,,,,7274498,0
331,1,0,0,0,11,29,11,0,0,-1,Ashenvale,,,,,,,,983042,0
332,1,0,0,0,11,0,9,0,0,-1,The Great Sea,,,,,,,,983042,0
333,0,45,0,0,11,0,0,0,0,38,Circle of East Binding,,,,,,,,7274498,0
334,0,45,0,0,11,0,0,0,0,38,Circle of West Binding,,,,,,,,7274498,0
335,0,45,0,0,11,0,0,0,0,38,Circle of Inner Binding,,,,,,,,7274498,0
336,0,45,0,0,11,0,0,0,0,38,Circle of Outer Binding,,,,,,,,7274498,0
337,0,3,0,0,11,25,7,0,0,-1,Apocryphan's Rest,,,,,,,,7274498,0
340,0,3,0,0,11,25,0,0,0,-1,Kargath,,,,,,,,7274498,0
341,0,3,0,0,11,25,0,0,0,-1,Camp Kosh,,,,,,,,7274498,0
342,0,3,0,0,11,25,0,0,0,-1,Camp Boff,,,,,,,,7274498,0
343,0,3,0,0,11,25,0,0,0,-1,Camp Wurg,,,,,,,,7274498,0
344,0,3,0,0,11,25,0,0,0,-1,Camp Cagg,,,,,,,,7274498,0
345,0,3,0,0,11,25,7,0,0,-1,Agmond's End,,,,,,,,7274496,0
346,0,3,0,0,11,25,0,0,0,-1,Hammertoe's Digsite,,,,,,,,7274498,0
347,0,3,0,0,11,25,0,0,0,-1,Dustbelch Grotto,,,,,,,,7274498,0
348,0,47,0,0,11,0,1,0,0,-1,Aerie Peak,,,,,,,,7274498,0
349,0,47,0,0,11,0,1,0,0,-1,Wildhammer Keep,,,,,,,,7274498,0
350,0,47,0,0,11,0,1,0,0,-1,Quel'Danil Lodge,,,,,,,,7274498,0
351,0,47,0,0,11,0,1,0,0,-1,Skulk Rock,,,,,,,,7274496,0
352,0,47,0,0,11,0,1,0,0,-1,Zun'watha,,,,,,,,7274498,0
353,0,47,0,0,11,0,1,0,0,-1,Shadra'Alor,,,,,,,,7274498,0
356,0,47,0,0,11,0,1,0,0,-1,Seradane,,,,,,,,7274498,0
357,1,0,0,0,11,29,3,0,0,-1,Feralas,,,,,,,,458754,0
358,1,215,0,0,11,25,9,0,0,4,Brambleblade Ravine,,,,,,,,983042,0
359,1,17,0,0,11,0,7,0,0,25,Bael Modan,,,,,,,,7274498,0
360,1,215,0,0,11,0,9,0,0,7,The Venture Co. Mine,,,,,,,,7274498,0
361,1,0,0,0,11,28,2,0,0,-1,Felwood,,,,,,,,7274498,0
362,1,14,0,0,11,0,9,0,0,5,Razor Hill,,,,,,,,7274498,0
363,1,14,0,0,11,0,9,0,0,0,Valley of Trials,,,,,,,,983042,0
364,1,14,0,75,11,0,9,0,0,-1,The Den,,,,,,,,7274498,0
365,1,14,0,0,11,0,9,0,0,-1,Burning Blade Coven,,,,,,,,983042,0
366,1,14,0,0,11,0,9,0,0,7,Kolkar Crag,,,,,,,,7274498,0
367,1,14,0,0,11,0,9,0,0,6,Sen'jin Village,,,,,,,,7274498,0
368,1,14,0,0,11,32,3,4514,1,7,Echo Isles,,,,,,,,7274498,0
369,1,14,0,0,11,0,9,0,0,9,Thunder Ridge,,,,,,,,7274498,0
370,1,14,0,0,11,0,9,0,0,0,Drygulch Ravine,,,,,,,,7274498,0
372,1,14,0,0,11,0,9,0,0,6,Tiragarde Keep,,,,,,,,7274498,0
373,1,14,0,0,11,0,9,0,0,6,Scuttle Coast,,,,,,,,7274496,0
374,1,14,0,0,11,0,9,0,0,-1,Bladefist Bay,,,,,,,,7274498,0
375,1,14,0,0,11,0,9,0,0,-1,Deadeye Shore,,,,,,,,7274496,0
377,1,0,0,0,11,0,9,0,0,9,Southfury River,,,,,,,,983042,0
378,1,17,0,0,11,0,7,0,0,10,Camp Taurajo,,,,,,,,7274498,0
379,1,17,0,0,11,0,7,0,0,10,Far Watch Post,,,,,,,,7274498,0
380,1,17,0,0,11,0,7,0,0,15,The Crossroads,,,,,,,,458752,0
381,1,17,0,0,11,0,0,0,0,-1,Boulder Load Mine,,,,,,,,7274498,0
383,1,17,0,0,11,0,0,0,0,14,The Dry Hills,,,,,,,,7274498,0
384,1,17,0,0,11,0,9,0,0,-1,Dreadmist Peak,,,,,,,,7274498,0
385,1,17,0,0,11,0,0,0,0,-1,Northwatch Hold,,,,,,,,7274498,0
386,1,17,0,0,11,0,7,0,0,12,The Forgotten Pools,,,,,,,,983042,0
388,1,17,0,0,11,0,7,0,0,15,The Stagnant Oasis,,,,,,,,983042,0
390,1,17,0,0,11,0,0,0,0,20,Field of Giants,,,,,,,,7274498,0
391,1,17,0,0,11,0,0,0,0,12,The Merchant Coast,,,,,,,,7274498,0
392,1,17,0,0,11,0,7,0,0,15,Ratchet,,,,,,,,7274498,0
393,1,14,0,0,11,0,9,0,0,0,Darkspear Strand,,,,,,,,7274498,0
394,0,0,0,0,11,30,0,0,0,-1,Darrowmere Lake,,,,,,,,7274498,0
395,0,394,0,0,11,0,0,0,0,-1,Caer Darrow,,,,,,,,7274498,0
396,1,215,0,0,11,0,9,0,0,6,Winterhoof Water Well,,,,,,,,7274498,0
397,1,215,0,0,11,0,9,0,0,7,Thunderhorn Water Well,,,,,,,,7274498,0
1,0,0,1,0,11,42,8,14,0,-1,Dun Morogh,,,,,,,,458754,2
2,0,40,0,0,11,0,9,0,0,-1,Longshore,,,,,,,,983042,0
3,0,0,0,0,11,25,7,0,0,-1,Badlands,,,,,,,,7274498,0
4,0,0,0,0,11,46,7,0,0,-1,Blasted Lands,,,,,,,,7274498,0
7,0,33,0,0,11,0,3,0,0,-1,Blackwater Cove,,,,,,,,7274498,0
8,0,0,0,0,11,32,3,1512850505,0,-1,Swamp of Sorrows,,,,,,,,7274498,0
9,0,12,0,0,11,35,1,0,0,0,Northshire Valley,,,,,,,,983042,0
12,0,0,0,0,11,35,1,0,0,-1,Elwynn Forest,,,,,,,,458754,2
