ID,ContinentID,GameCoords[0],GameCoords[1],GameCoords[2],GameFalloffStart,GameFalloffEnd,LightParamsID[0],LightParamsID[1],LightParamsID[2],LightParamsID[3],LightParamsID[4]
1,0,0,0,0,0,0,12,13,10,11,4
2,0,612096,0,998400,19200,25861,14,15,10,11,4
3,0,714810,0,987301,13924,19298,16,15,10,11,4
4,0,557760,0,966720,23040,28800,17,18,10,11,4
5,0,685440,-177,989760,11167,16362,19,20,10,11,4
6,0,725045,0,1021195,13922,20298,21,22,454,11,4
7,0,653065,0,897438,23773,29291,23,24,456,456,4
8,0,561600,0,1002240,25920,31680,17,25,10,11,4
9,0,614400,0,1094400,63744,72192,26,27,409,409,4
10,0,710400,9216,864000,12603,20050,28,24,10,11,4
11,0,644315,0,728689,14966,35446,29,13,10,11,4
12,0,724087,0,667736,13785,46868,30,31,10,11,4
13,0,648745,-389,618216,18900,54857,32,33,10,11,4
14,0,759016.75,818.08545,987938.56,26782,30720,16,15,10,11,4
15,0,646080,-3840,997440,24000,31658,14,15,10,11,4
16,0,666312.4,15687.892,800207.7,35975.207,43712.83,34,35,406,406,2
17,0,687233,2345,1011162,11068,14613,19,20,10,11,4
18,0,664320,0,982080,6720,7680,14,15,10,11,4
19,0,702610,0,1047894,14178,19057,36,37,36,11,4
20,0,706944,0,901632,25344,29952,23,24,456,456,4
21,0,748800,0,856704,24882,29952,28,24,10,11,4
22,0,613629,8480,804810,26524,31670,34,35,406,406,2
23,0,597504,6912,841728,19200,20736,34,35,406,406,2
24,0,622848,5376,823296,20736,24576,34,35,406,406,2
25,0,716234.1,5376,822528,10580,23040,38,39,10,11,4
26,0,737280,0,807168,24576,39168,38,39,10,11,4
27,0,612864,0,516864,35446,51722,40,39,407,407,4
28,0,564790,0,604416,28996,65437,41,42,10,11,4
29,0,561408,0,537600,18808,30171,40,43,407,407,4
30,0,721019,0,547667,14890,22843,44,45,457,45,4
31,0,671928,0,553804,29170,38597,46,45,10,45,4
32,0,673462,0,510849,9846,21662,47,45,10,45,4
33,0,704256,0,527616,12209,16542,48,45,457,45,4
34,0,680017,767,579840,2035,3331,49,45,10,45,4
35,0,707752,0,575461,11815,22449,50,45,10,45,4
36,0,708480,0,610560,18024,31347,51,45,10,11,4
37,0,753792,0,604800,23902,40359,51,52,10,11,4
38,0,758650,0,584634,8612,11755,53,24,10,11,4
39,0,596846,0,1131107,5486,8229,26,27,409,409,4
40,0,601065,1663,986093,1279,2743,54,27,10,11,4
41,0,630428,0,990672,4702,9012,55,27,10,11,4
42,0,769336,0,520883,46080,59513,56,37,444,37,4
43,0,749492,5148,525102,6962,10136,57,37,457,37,4
44,0,631954,0,593793,9404,17241,427,45,422,422,2
45,0,659431,0,688803,4310,24294,30,45,10,11,4
46,0,747098,5369,504893,8271,14572,59,33,457,33,4
47,0,811530,3835,516986,6564,11028,57,31,457,31,4
48,0,737786,5369,475746,15360,20086,60,45,60,45,4
49,0,731145,4123,475480,2253,5908,61,45,61,45,4
50,0,674996,2027,912325,9058,12209,23,45,456,456,4
51,0,594662,2913,919693,2363,3043,62,24,10,11,4
52,0,592048,2553,916999,2255,3227,62,24,10,11,4
53,0,645849,2301,529258,9452,14572,40,24,407,407,4
54,0,115200,0,1094400,90585,95311,12,63,10,11,4
55,0,598018,-1969,665698,9641,12497,64,13,10,11,4
56,0,594410,6025,662270,3151,5120,65,66,10,11,4
57,0,671928,0,1044710,11028,21662,67,66,10,11,4
58,0,711814,0,734825,15360,48837,29,37,10,11,4
59,0,171183,-7285,1114234,5908,8341,68,27,10,11,4
60,0,162901,-8437,1115278,5393,8345,69,13,10,11,4
