ID,MapID,AreaID,AreaName,LocLeft,LocRight,LocTop,LocBottom
81,1,406,StonetalonMountains,3245.8333,-1637.4999,2916.6665,-339.5833
141,1,15,Dustwallow,-974.99994,-6225,-2033.3333,-5533.333
121,1,357,Feralas,5441.6665,-1508.3333,-2366.6665,-6999.9995
161,1,440,Tanaris,-218.74998,-7118.7495,-5875,-10475
4,1,14,Durotar,-1962.4999,-7249.9995,1808.3333,-1716.6666
9,1,215,Mulgore,2047.9166,-3089.5833,-272.91666,-3697.9165
11,1,17,Barrens,2622.9165,-7510.4165,1612.4999,-5143.75
13,1,0,Kalimdor,15972,-19584,12164,-11840
14,0,0,Azeroth,16700,-20100,8611,-16123
15,0,36,Alterac,783.3333,-2016.6666,1500,-366.66666
16,0,45,Arathi,-866.6666,-4466.6665,-133.33333,-2533.3333
17,0,3,Badlands,-2079.1665,-4566.6665,-5889.583,-7547.9165
18,0,25,Blackrock,0,0,0,0
19,0,4,BlastedLands,-1241.6666,-4591.6665,-10566.666,-12800
20,0,85,Tirisfal,3033.3333,-1485.4166,3837.4998,824.99994
21,0,130,Silverpine,3449.9998,-750,1666.6666,-1133.3333
22,0,28,WesternPlaguelands,416.66666,-3883.3333,3366.6665,499.99997
23,0,139,EasternPlaguelands,0,0,0,0
24,0,267,Hilsbrad,1066.6666,-2133.3333,400,-1733.3333
26,0,47,Hinterlands,-1575,-5425,1466.6666,-1100
27,0,1,DunMorogh,1802.0833,-3122.9165,-3877.0833,-7160.4165
28,0,51,SearingGorge,766.6666,-2433.3333,-5750,-7883.333
29,0,46,BurningSteppes,-266.66666,-3195.8333,-7031.2495,-8983.333
30,0,12,Elwynn,1535.4166,-1935.4166,-7939.583,-10254.166
31,0,394,DarrowmereLake,0,0,0,0
32,0,41,DeadwindPass,-833.3333,-3333.3333,-9866.666,-11533.333
34,0,10,Duskwood,833.3333,-1866.6666,-9716.666,-11516.666
35,0,38,LochModan,-1993.7499,-4752.083,-4487.5,-6327.083
36,0,44,Redridge,-1633.3333,-4833.333,-8266.666,-10400
37,0,33,Stranglethorn,2216.6665,-4183.333,-11166.666,-15433.333
38,0,8,SwampOfSorrows,-2222.9165,-4516.6665,-9620.833,-11150
39,0,40,Westfall,3016.6665,-483.3333,-9400,-11733.333
40,0,11,Wetlands,-389.5833,-4525,-2147.9165,-4904.1665
41,1,141,Teldrassil,3814.5833,-1277.0833,11831.25,8437.5
42,1,148,Darkshore,2941.6665,-3608.3333,8333.333,3966.6665
43,1,331,Ashenvale,1699.9999,-4066.6665,4672.9165,829.1666
101,1,405,Desolace,4233.333,-262.5,452.0833,-2545.8333
61,1,400,ThousandNeedles,-433.3333,-4833.333,-3966.6665,-6899.9995
181,1,16,Aszhara,-3277.0833,-8347.916,5341.6665,1960.4166
182,1,361,Felwood,1641.6666,-4108.333,7133.333,3299.9998
201,1,490,UngoroCrater,533.3333,-3166.6665,-5966.6665,-8433.333
221,189,796,ScarletMonastary,0,0,0,0
222,189,796,ScarletMonastary,0,0,0,0
241,1,493,Moonglade,-1381.25,-3689.5833,8491.666,6952.083
