ID,SetName,SilenceIntervalMin[0],SilenceIntervalMin[1],SilenceIntervalMax[0],SilenceIntervalMax[1],Sounds[0],Sounds[1]
116,Moment-Sacred01,300000,300000,600000,600000,5654,4454
176,Zone-Desert,300000,300000,600000,600000,4754,4755
182,Zone-Undercity,300000,300000,600000,600000,5074,5074
186,Moment-Stormwind08,300000,300000,600000,600000,5294,5294
187,Moment-Stormwind Highseas,300000,300000,600000,600000,5334,5334
193,Zone-CursedLand Felwood,300000,300000,600000,600000,5455,5455
195,Zone-StormwindCave,300000,300000,600000,600000,5474,5474
196,Zone-VolcanicCave,300000,300000,600000,600000,2539,2539
197,Zone-ForestCombo,300000,300000,600000,600000,2523,2533
198,Zone-JungleVary,300000,300000,600000,600000,5494,5494
202,Zone-Magic01,300000,300000,600000,600000,5675,5675
56,Moment-Darnassus Intro,300000,300000,600000,600000,3900,3900
76,Zone-Darnassus,300000,300000,600000,600000,3920,3920
178,Moment-Stormwind02,300000,300000,600000,600000,5036,5036
185,Zone-TavernHorde,300000,300000,600000,600000,5234,5234
191,Zone-DarkForest,300000,300000,600000,600000,5376,5376
194,Zone-CursedLandFelwoodFurbolg,300000,300000,600000,600000,5456,5456
200,Moment-Magic,300000,300000,600000,600000,5534,5534
1,Zone-Forest,300000,300000,600000,600000,2523,2523
2,Zone-EvilForest,300000,300000,600000,600000,2524,2524
3,Zone-Jungle,300000,300000,600000,600000,5494,2535
7,Zone-BarrenDry,300000,300000,600000,600000,2536,2536
8,Zone-Mountain,300000,300000,600000,600000,2527,2537
9,Zone-Plains,300000,300000,600000,600000,2528,2538
10,Zone-Volcanic,300000,300000,600000,600000,2529,2539
11,Zone-EnchantedForest,300000,300000,600000,600000,2530,2540
12,Moment-ValleyofHeros,300000,300000,600000,600000,2541,2541
13,Zone-Stormwind,300000,300000,600000,600000,2532,2532
14,Zone-Orgrimmar,300000,300000,600000,600000,2901,2901
15,Zone-Haunted,300000,300000,600000,600000,2990,2990
16,Moment-Orgrimmar Intro,300000,300000,600000,600000,3402,3402
17,None,300000,300000,600000,600000,0,0
177,Moment-Stormwind01,300000,300000,600000,600000,5035,5035
180,Moment-Stormwind03,300000,300000,600000,600000,5054,5054
181,Moment-Orgrimmar01,300000,300000,600000,600000,5055,5055
184,Moment-Desert03,200000,200000,300000,300000,5194,5194
36,GhostMusic (DONOTRENAME),300000,300000,600000,600000,3820,3821
179,Moment-Spooky01,300000,300000,600000,600000,5037,5037
183,Moment-Haunted02,200000,200000,300000,300000,5174,5174
199,Zone-Magic,300000,300000,600000,600000,5534,5532
96,Moment-DruidGrove,300000,300000,600000,600000,4434,4434
136,Moment-Swamp01,300000,300000,600000,600000,4514,4514
156,Zone-TavernAlliance,300000,300000,480000,480000,4516,4516
157,Moment-Angelic01,300000,300000,600000,600000,4517,4517
188,Moment-WarriorTerrace,300000,300000,600000,600000,5354,5354
189,Zone-TavernHorde01,300000,300000,600000,600000,5355,5355
190,Zone-HauntedCombo,300000,300000,600000,600000,5374,0
192,Zone-Desert Cave,300000,300000,600000,600000,5394,5394
201,Zone-MagicCombo,300000,300000,600000,600000,5654,5654
