ID,Name_lang[0]
1,Anvil
2,Loom
3,Forge
4,Cooking Fire
5,Shards of Myzrael
6,Winterhoof Water Well
7,Thunderhorn Water Well
8,Wildmane Water Well
9,Tribal Fire
10,Machine Shop
11,Shadowglen Moon Well
12,Starbreeze Village Moon Well
13,Pools of Arlithrien Moon Well
14,Oracle Glade Moon Well
15,Venture Co. Airport
16,Venture Co. Wagon (Blue)
17,Venture Co. Wagon (Red)
18,NG-5 Explosives (Red)
19,NG-5 Explosives (Blue)
20,Flame of Uzel
21,Ashenvale Moon Well
22,Seaworn Altar
23,Tuber-rich Soil
43,Summoning Circle
