ID,DisplayRaceID,DisplaySexID,SkinID,FaceID,HairStyleID,HairColorID,FacialHairID,NPCItemDisplay[0],NPCItemDisplay[1],NPCItemDisplay[2],NPCItemDisplay[3],NPCItemDisplay[4],NPCItemDisplay[5],NPCItemDisplay[6],NPCItemDisplay[7],NPCItemDisplay[8],NPCItemDisplay[9],BakeName
23,3,0,1,1,6,3,2,8815,8815,3900,0,8328,5848,8816,0,3052,0,1128c00bf11c48a82a2317759acf6ede.blp
30,1,0,3,3,10,4,6,2952,0,1184,0,0,0,0,0,0,0,aac51113b3cfea506d5c2a31c87b2c81.blp
31,1,1,3,8,2,9,0,5239,5245,5246,5242,3418,5236,5237,0,5247,0,9c945fe0e7827fe156ab96df590f18cb.blp
32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a05c89df2a2f61b2ba80ae4df67951c6.blp
43,1,1,2,1,11,3,0,0,0,0,0,0,0,0,0,0,0,7a7ba0a19b56438cbb604796dcde0f39.blp
45,1,0,0,8,0,0,2,0,7684,7676,7677,7678,7679,7680,0,7702,7683,9913100edc3050e7c44685c19913d7ae.blp
47,3,0,6,5,0,6,7,3785,0,5315,0,0,0,2166,0,0,0,13cb2574c42047b8129cbbcc63d4147.blp
52,4,0,5,1,3,3,2,0,0,5340,0,0,5341,5342,0,0,0,2049cd6c62d75468cb5e843ef5b32bf9.blp
53,3,1,2,1,3,3,0,0,0,5343,0,5344,1818,4487,0,0,0,4d05a6b5dc33f0e8623541287b1cd28f.blp
54,1,0,4,10,3,9,2,0,0,0,5345,0,5346,5347,3897,0,0,fe9840a7aaa0626d2021e4c6de9a765.blp
56,1,1,3,2,14,0,0,0,0,2964,0,0,2318,2319,3897,0,0,29505abb48afcbfac29ca6132616adc1.blp
57,1,0,2,10,6,1,4,0,0,0,5350,0,5297,5351,0,0,0,f88f521c1c6dcd323280edb4ee4e2e8.blp
58,1,0,1,2,1,4,1,0,0,0,5352,5353,1882,5354,5355,0,0,3f9b7deb3c2dfb10c9a4bbf9425d7c3a.blp
59,1,0,0,9,8,9,8,0,0,0,8444,5865,7587,8268,0,0,0,25822e8b4a898008e688cd9d8695dd52.blp
60,1,0,2,0,1,3,6,0,0,9745,0,0,2318,4272,0,0,0,5f7cdc2e85377eb79c6889f83fa13699.blp
62,1,0,9,0,0,10,5,0,0,4299,0,0,2185,5363,0,0,0,cf785a8dc8099f166b3e533bca7ee029.blp
63,1,0,3,11,5,4,3,0,0,3552,0,0,5346,2496,0,0,0,11fe7bffa0f80247783c1ab8851fbe39.blp
65,1,1,1,3,17,2,0,0,0,0,5367,5368,5369,5370,0,0,0,593a071592f80f9a77a76fc4786dfd74.blp
67,1,1,2,10,7,0,0,0,0,9041,0,8958,7592,8418,0,6610,0,6820d9e77cd8a72f8ec7d7d3cddfd7ec.blp
68,1,0,0,1,1,1,8,0,0,5379,0,0,5236,5380,0,0,0,18e75c5ccdf2f83686f174892aef4504.blp
69,1,0,3,2,2,1,6,0,5381,0,2257,4342,697,1981,5382,5383,0,5c1eb81cac8c437c6134c49ea02579.blp
71,2,0,6,4,5,5,3,0,0,8156,0,8135,7939,7782,0,0,0,4e4e22551540e0e93b75fc573f73672f.blp
72,2,0,0,5,0,4,5,0,0,9168,0,6299,6362,9169,0,0,0,a01cebf389e5660b9a13c04b8e8dfb6b.blp
73,2,1,1,5,2,0,0,0,0,8180,0,8943,6300,7750,0,9170,0,70b41eb9e51c4b5e19f16db8e17598.blp
74,2,0,3,8,4,1,1,0,0,9171,0,8157,7781,7782,0,0,0,69ec7053e3d0e9d8db5594c8f3920235.blp
75,2,0,0,0,3,3,0,0,0,9172,0,8135,7939,9173,0,0,0,cf0eee1d1608ee8b1944e95041a17434.blp
79,2,0,2,3,1,0,4,0,0,9177,0,7761,5947,9174,0,0,0,5ad2a6095bc48d9cfb37e23ce5ec9a51.blp
80,2,0,6,4,3,1,1,0,0,9178,0,9179,8160,7768,0,0,0,7b48e16f36688a51c8f7e29ca0a44f7d.blp
81,2,1,0,7,1,2,0,0,0,9180,0,8196,7765,9181,0,0,0,b0bce3f3ccd4918e486abfa181f94632.blp
83,2,0,3,0,4,6,4,0,0,7552,0,9183,6300,9184,0,0,0,370ba644124754a0f5a3db88a964fce3.blp
86,2,0,3,2,3,1,2,0,0,8167,0,0,7942,8920,0,0,0,111872fa78954969e9af500c70e046e.blp
87,2,0,3,7,5,5,9,0,0,8957,224,9024,8994,8920,0,0,0,497447d158d89385d0ccd4aa70d4c98d.blp
90,2,1,5,3,7,5,0,0,0,8167,0,0,7942,8920,0,0,0,d4e40f42c2156b4a608510dfff61a40.blp
91,2,0,4,0,2,0,1,0,0,9265,0,8139,9266,9650,0,0,0,65665693d4664dfe6c987d138c214677.blp
92,2,0,3,8,4,0,3,0,9651,9652,0,7728,8140,9653,0,7731,0,64baebdfc5772ba91e1856e714c1237.blp
93,2,0,6,5,0,0,4,0,0,9669,0,9670,9671,9672,0,0,0,f58c5e204b0506fbfb7fee81aecf1fc.blp
94,2,0,7,4,2,5,2,0,0,10127,0,8157,7781,0,0,0,0,2a2e16f5750ba685842fd370f1cb8c4f.blp
95,2,0,4,0,3,1,3,0,0,9669,0,9670,7533,0,0,0,0,44634c70da96ff34aa432615e8fbc498.blp
96,2,0,5,1,0,6,2,0,0,10116,0,310,6300,6301,0,0,0,35de2f1cd3619516c0e1b48acb7ab3c.blp
97,2,1,5,8,0,0,1,0,0,10070,0,9464,10071,10072,0,0,0,e989f0aedaef8941717550c96a5040d.blp
98,2,0,7,3,2,2,1,0,0,9021,0,9007,8155,10107,0,0,0,84b1ddcfb0fe1f2450c2a27b652a4ad5.blp
99,2,0,3,7,4,5,2,0,0,8161,0,10087,10098,10099,0,0,0,c49cb6428b47d18f1e1627b6e5719cc3.blp
100,2,1,2,2,4,4,0,0,0,9021,0,10091,8956,10092,0,0,0,b6c79adba5074fec7895dd01dc3d39dd.blp
101,2,0,0,1,1,1,1,224,224,5477,224,5478,5479,5480,5481,5482,224,d5d40c97704520e5d552be61166888c.blp
103,2,0,2,8,3,3,6,224,224,5490,5334,5457,5458,5366,224,224,224,c66d769b424ff314398a63c42281ad98.blp
104,2,1,8,6,6,1,0,224,224,5490,5334,5457,5458,5366,224,224,224,58907a93546365acfc0683ddd47a7a7.blp
105,2,0,0,1,5,7,4,224,224,5491,5334,4506,5492,5463,224,224,224,210e33f84e9ddcfbbb4bae425b199fd.blp
106,2,0,2,6,2,2,3,0,0,10110,0,0,8190,10111,0,0,0,8ffb692e923f7f3c545d24c67726516a.blp
107,2,0,5,8,4,6,2,0,0,7551,0,7746,7947,0,0,0,0,d8a67dd7524152b047f5bf1e641bbf6f.blp
108,2,0,8,1,3,0,0,0,0,8948,0,10083,8142,0,0,0,0,c53fd2d0e58921d843c52766f18bb56d.blp
110,2,0,0,3,4,1,4,0,0,6196,0,9047,6197,10121,0,10122,0,b2943185c58830c745faa95cc376044c.blp
111,2,0,4,8,1,0,5,224,5496,5497,224,2364,2365,2366,2367,5498,224,875a75f33d6db5da1e63139e55853c2e.blp
112,2,0,2,1,3,1,6,224,5506,5507,224,4335,4339,4336,4337,5508,224,6e422ca15223a9b3c1118bb6f02b5d78.blp
113,2,0,3,5,1,0,3,224,5511,1232,224,5512,5513,5514,5515,5516,224,8bea0834ded4b227674eaab9c88c778f.blp
115,2,1,2,4,5,2,0,0,0,6370,0,0,6362,0,0,0,0,65ad3d9cd4fa86dc2c9987eaa5d5b079.blp
116,2,0,3,4,4,6,4,0,0,10124,0,9464,10071,0,0,0,0,b2b26776375e3e76a704a8ee310f5c9a.blp
117,2,1,4,0,1,1,0,0,0,9006,0,10061,8193,10062,0,10063,0,20dd1d40ee40a9df41b3dba7d43427f9.blp
118,2,1,0,3,4,7,0,0,0,10066,0,9670,7781,7782,0,0,0,b13362b291ce257be7cb6e36f0b43ce2.blp
119,2,0,0,7,2,1,1,0,0,10113,0,8943,7710,9672,0,0,0,4a71d376abd871145894067f847714db.blp
120,2,0,5,8,4,1,5,0,0,7774,0,10103,8181,10104,0,0,0,88c957fa3d6f1e4fe092895da794716b.blp
121,2,0,3,2,3,1,1,224,5544,5545,224,224,2176,3710,224,224,224,d1add2e41a42e31927253dee38d2366b.blp
122,2,0,0,8,2,0,1,224,224,5362,224,229,2311,2204,224,224,224,7d47c8b850148ce81a7efd0c568dbdc1.blp
123,2,0,4,3,6,0,0,0,0,5362,0,8157,2311,2204,0,0,0,91cd159af4ce8e8bfaa29821702aa4f1.blp
125,2,0,2,0,2,5,0,0,0,5557,0,4599,5521,5522,0,5524,0,553f532b09f95b53935ac2bd2a13c74.blp
126,2,1,5,4,7,5,0,0,0,7777,0,6978,9970,10052,0,10053,0,a3893e7c8f12f917fc144c193df04b2b.blp
127,2,0,5,7,5,1,1,0,0,10086,0,10087,683,2342,2118,0,0,5b75422f5b1e52b3df9e948edf6db07c.blp
128,2,0,4,3,1,0,2,0,0,10094,0,10083,8175,10095,0,0,0,f38ed77b440119a754e8a256fbfa7f31.blp
130,2,0,7,5,3,1,1,0,0,5558,0,4473,1978,1981,0,0,0,2c83c131c2324dd87be35d92e3ecb423.blp
131,2,0,6,4,3,3,3,0,0,10077,0,10078,10079,10080,0,0,0,3c0ca543d693f4cbc0341f8e27ea97a9.blp
