ID,ModelName[0],ModelName[1],ModelTexture[0],ModelTexture[1],InventoryIcon,GeosetGroup[0],GeosetGroup[1],GeosetGroup[2],Flags,SpellVisualID,GroupSoundIndex,HelmetGeosetVisID,Texture[0],Texture[1],Texture[2],Texture[3],Texture[4],Texture[5],Texture[6],Texture[7],ItemVisual
1342,Hammer_2H_Maul_A_01.mdl,,Hammer_2H_Maul_A_01Green,,INV_Hammer_03,0,0,0,0,0,9,0,,,,,,,,,0
1345,Stave_2H_Long_A_03.mdl,,Stave_2H_Long_A_03Green,,INV_Staff_02,0,0,0,0,0,13,0,,,,,,,,,0
1347,,,,,INV_Misc_Food_08,0,0,0,0,0,0,0,,,,,,,,,0
1353,,,,,INV_Pants_05,0,0,0,0,0,0,0,,,,,,LUClothHumanGreenPant01,LLClothHumanGreenPant01,,0
1356,,,,,INV_Pants_01,0,0,0,0,0,0,0,,,,,,LUClothOrcGreenPant01,LLClothOrcGreenPant01,,0
1357,,,,,INV_Pants_02,0,0,0,0,0,7,0,,,,,,Generic_DwMa_01_Pants_LU,Generic_DwMa_01_Pants_LL,,0
1361,,,,,INV_Misc_Fish_02,0,0,0,0,0,15,0,,,,,,,,,0
1364,,,,,INV_Stone_04,0,0,0,0,0,15,0,,,,,,,,,0
1371,Stave_2H_Long_A_01.mdl,,Stave_2H_Long_A_01Teal,,INV_Staff_02,0,0,0,0,0,13,0,,,,,,,,,0
1373,Stave_2H_Jeweled_C_01.mdl,,Stave_2H_Jeweled_C_01Green,,INV_Staff_06,0,0,0,0,0,13,0,,,,,,,,,0
1374,Stave_2H_Long_A_02.mdl,,Stave_2H_Long_A_01Gold,,INV_Staff_02,0,0,0,0,0,13,0,,,,,,,,,0
1376,Stave_2H_Jeweled_A_01.mdl,,Stave_2H_Jeweled_A_01Blue,,INV_Staff_07,0,0,0,0,0,13,0,,,,,,,,,0
1378,Axe_1H_Pick_A_01.mdl,,Axe_1H_Pick_A_01Brown,,INV_Pick_01,0,0,0,0,0,9,0,,,,,,,,,0
1379,Axe_1H_Pick_A_01.mdl,,Axe_1H_Pick_A_01Brown,,INV_Pick_02,0,0,0,0,0,9,0,,,,,,,,,0
1382,Axe_1H_Hatchet_A_02.mdl,,Axe_1H_Hatchet_A_02Rusty,,INV_Axe_01,0,0,0,0,0,8,0,,,,,,,,,0
1383,Axe_1H_Hatchet_A_03.mdl,,Axe_1H_Hatchet_A_03Red,,INV_Axe_01,0,0,0,0,0,8,0,,,,,,,,,0
1384,Axe_1H_Hatchet_A_02.mdl,,Axe_1H_Hatchet_A_02Silver,,INV_Axe_04,0,0,0,0,0,8,0,,,,,,,,,0
1386,Axe_1H_Hatchet_A_01.mdl,,Axe_1H_Hatchet_A_01Blue,,INV_Axe_01,0,0,0,0,0,8,0,,,,,,,,,0
1387,Axe_1H_Hatchet_A_03.mdl,,Axe_1H_Hatchet_A_03Black,,INV_Axe_01,0,0,0,0,0,8,0,,,,,,,,,0
1389,Axe_1H_Hatchet_B_02.mdl,,Axe_1H_Hatchet_B_02Black,,INV_Axe_01,0,0,0,0,0,8,0,,,,,,,,,0
1390,Axe_1H_Hatchet_B_03.mdl,,Axe_1H_Hatchet_B_03Red,,INV_Axe_01,0,0,0,0,0,8,0,,,,,,,,,0
1391,Axe_1H_Hatchet_B_02.mdl,,Axe_1H_Hatchet_B_02Green,,INV_Axe_01,0,0,0,0,0,8,0,,,,,,,,,0
1392,Axe_1H_Hatchet_B_01.mdl,,Axe_1H_Hatchet_B_01Copper,,INV_Axe_01,0,0,0,0,0,8,0,,,,,,,,,0
1393,Axe_1H_Hatchet_B_03.mdl,,Axe_1H_Hatchet_B_03Black,,INV_Axe_03,0,0,0,0,0,8,0,,,,,,,,,0
1395,,,,,INV_Misc_Shell_01,0,0,0,0,0,15,0,,,,,,,,,0
1399,,,,,INV_Jewelry_Amulet_05,0,0,0,0,0,14,0,,,,,,,,,0
1401,,,,,INV_Misc_Idol_02,0,0,0,0,0,15,0,,,,,,,,,0
1402,Hammer_1H_Standard_B_01.mdl,,Hammer_1H_Standard_B_01Orange,,INV_Hammer_03,0,0,0,0,0,8,0,,,,,,,,,0
1404,,,,,INV_Jewelry_Amulet_01,0,0,0,0,0,7,0,,,,,,,,,0
1405,,,,,INV_Stone_05,0,0,0,0,0,7,0,,,,,,,,,0
1407,,,,,INV_Gauntlets_09,1,0,0,0,0,11,0,,Mail_A_02_Glove_AL,Mail_A_02_Glove_HA,,,,,,0
1409,Axe_1H_Hatchet_C_02.mdl,,Axe_1H_Hatchet_C_02Red,,INV_Axe_01,0,0,0,0,0,8,0,,,,,,,,,0
