ID,CharacterLoadoutID,ItemID
19223,1544,4499
19224,1544,4499
19225,1544,4499
19226,1544,4499
19227,1544,6948
19231,1545,4499
19232,1545,4499
19233,1545,4499
19241,1546,4499
19242,1546,4499
19243,1546,4499
19244,1546,4499
19245,1546,6948
19248,1547,4499
19249,1547,4499
19250,1547,4499
19251,1547,4499
19252,1547,6948
19255,1548,4499
19256,1548,4499
19257,1548,4499
19258,1548,4499
19259,1548,6948
19262,1549,4499
19263,1549,4499
19264,1549,4499
19265,1549,4499
19266,1549,6948
19269,1550,4499
19270,1550,4499
19271,1550,4499
19272,1550,4499
19273,1550,6948
19276,1551,4499
19277,1551,4499
19278,1551,4499
19283,1552,4499
19284,1552,4499
19285,1552,4499
19286,1552,4499
19287,1552,6948
19290,1551,21340
19291,1551,6948
19294,1550,5178
19295,1550,5177
19296,1550,5176
19297,1550,5175
19332,1545,7371
19333,1545,6948
19572,1544,186074
19573,1544,186044
19574,1544,186026
19575,1544,186030
19576,1544,186027
19577,1544,186032
19578,1544,186028
19579,1544,186031
19580,1544,186033
19581,1544,186029
19582,1544,185982
19583,1544,185984
19584,1544,185985
19585,1544,185988
19590,1545,186074
19591,1545,186045
19592,1545,186034
19593,1545,186038
19594,1545,186035
19595,1545,186040
19596,1545,186036
19597,1545,186039
19598,1545,186041
19599,1545,186037
19600,1545,185982
19601,1545,185984
19602,1545,185985
19603,1545,185988
19606,1546,186074
19607,1546,186046
19608,1546,186020
19609,1546,186023
19610,1546,186025
19611,1546,186018
19612,1546,186022
19613,1546,186019
19614,1546,186021
19615,1546,186024
19616,1546,185984
19617,1546,185983
19618,1546,185988
19619,1546,185987
19623,1547,186074
19624,1547,186047
19625,1547,186086
19626,1547,186087
19627,1547,186088
19628,1547,186085
19629,1547,185998
19630,1547,186016
19631,1547,186001
19632,1547,186002
19633,1547,185984
19634,1547,185981
19635,1547,185985
19636,1547,185988
19639,1548,186074
19640,1548,186046
19641,1548,186020
19642,1548,186023
19643,1548,186025
19644,1548,186018
19645,1548,186022
19646,1548,186019
19647,1548,186021
19648,1548,186024
19649,1548,185984
19650,1548,185983
19651,1548,185988
19652,1548,185987
19656,1549,186074
19657,1549,186044
19658,1549,186078
19659,1549,186079
19660,1549,186080
19661,1549,186076
19662,1549,186028
19663,1549,186031
19664,1549,186033
19665,1549,186029
19666,1549,185982
19667,1549,185984
19668,1549,185985
19669,1549,185988
19673,1550,186074
19674,1550,186075
19675,1550,186081
19676,1550,186082
19677,1550,186083
19678,1550,186084
19679,1550,186036
19680,1550,186039
19681,1550,186041
19682,1550,186037
19683,1550,185984
19684,1550,185983
19685,1550,185988
19686,1550,185987
19690,1551,186074
19691,1551,186046
19692,1551,186020
19693,1551,186023
19694,1551,186025
19695,1551,186018
19696,1551,186022
19697,1551,186019
19698,1551,186021
19699,1551,186024
19700,1551,185984
19701,1551,185983
19702,1551,185988
19703,1551,185987
19707,1552,186074
19708,1552,186047
19709,1552,185998
19710,1552,186016
19711,1552,186001
19712,1552,186002
19713,1552,185976
19714,1552,186015
19715,1552,185977
19716,1552,185999
19717,1552,185984
19718,1552,185981
19719,1552,185985
19720,1552,185988
20945,1634,34652
20946,1634,34655
20947,1634,34659
20948,1634,34650
20949,1634,34653
20950,1634,34649
20951,1634,34651
20952,1634,34656
20953,1634,34648
20954,1634,34657
20955,1634,34658
20956,1634,38145
20957,1634,38147
20958,1634,41751
20959,1634,40582
20960,1635,34652
20961,1635,34655
20962,1635,34659
20963,1635,34650
20964,1635,34653
20965,1635,34649
20966,1635,34651
20967,1635,34656
20968,1635,34648
20969,1635,34657
20970,1635,34658
20971,1635,38145
20972,1635,38147
20973,1635,41751
20974,1635,40582
20975,1636,34652
20976,1636,34655
20977,1636,34659
20978,1636,34650
20979,1636,34653
20980,1636,34649
20981,1636,34651
20982,1636,34656
20983,1636,34648
20984,1636,34657
20985,1636,34658
20986,1636,38145
20987,1636,38147
20988,1636,41751
20989,1636,40582
20990,1637,34652
20991,1637,34655
20992,1637,34659
20993,1637,34650
20994,1637,34653
20995,1637,34649
20996,1637,34651
20997,1637,34656
20998,1637,34648
20999,1637,34657
21000,1637,34658
21001,1637,38145
21002,1637,38147
21003,1637,41751
21004,1637,40582
21005,1638,34652
21006,1638,34655
21007,1638,34659
21008,1638,34650
21009,1638,34653
21010,1638,34649
21011,1638,34651
21012,1638,34656
21013,1638,34648
21014,1638,34657
21015,1638,34658
21016,1638,38145
21017,1638,38147
21018,1638,41751
21019,1638,40582
21020,1639,34652
21021,1639,34655
21022,1639,34659
21023,1639,34650
21024,1639,34653
21025,1639,34649
21026,1639,34651
21027,1639,34656
21028,1639,34648
21029,1639,34657
21030,1639,34658
21031,1639,38145
21032,1639,38147
21033,1639,41751
21034,1639,40582
21035,1640,34652
21036,1640,34655
21037,1640,34659
21038,1640,34650
21039,1640,34653
21040,1640,34649
21041,1640,34651
21042,1640,34656
21043,1640,34648
21044,1640,34657
21045,1640,34658
21046,1640,38145
21047,1640,38147
21048,1640,41751
21049,1640,40582
