ID,SetName,SilenceIntervalMin[0],SilenceIntervalMin[1],SilenceIntervalMax[0],SilenceIntervalMax[1],Sounds[0],Sounds[1]
116,MusicalMomentsSacred01,20000,20000,30000,30000,4454,4454
176,Desert,30000,30000,60000,60000,4754,4755
56,Darnassus Intro,20000,20000,30000,30000,3900,3900
76,Darnassus Walking1,20000,20000,30000,30000,3920,3920
1,Forest,30000,30000,60000,60000,2523,2533
2,Evil Forest,20000,20000,30000,30000,2524,2534
3,Jungle,20000,20000,30000,30000,2525,2535
7,Barren/Dry,20000,20000,30000,30000,2526,2536
8,Mountain,20000,20000,30000,30000,2527,2537
9,Plains,20000,20000,30000,30000,2528,2538
10,Volcanic,20000,20000,30000,30000,2529,2539
11,Enchanted Forest,20000,20000,30000,30000,2530,2540
12,ValleyofHeros,20000,20000,30000,30000,2541,2541
13,Stormwind City,60000,60000,70000,70000,2532,2542
14,Orgrimmar,20000,20000,30000,30000,2902,2901
15,Haunted,20000,20000,30000,30000,2990,2990
16,Orgrimmar Intro,20000,20000,30000,30000,3402,3402
17,None,0,0,0,0,0,0
36,GhostMusic (DONOTRENAME),180000,180000,240000,240000,3820,3821
96,DruidGrove,20000,20000,30000,30000,4434,4434
136,MusicalMomentsSwamp01,20000,20000,30000,30000,4514,4514
156,MusicalMomentsTavern01,20000,20000,30000,30000,4516,4516
157,MusicalMomentsAngelic01,20000,20000,30000,30000,4517,4517
