ID,Name,RaceID,Sex
195,Agamand,1,0
196,Andromath,1,0
197,Antonidas,1,0
198,Fordred,1,0
202,Arugal,1,0
204,Ballador,1,0
206,Aedelas,1,0
208,Rex,1,0
210,Saidin,1,0
219,Nandis,1,0
218,Genn,1,0
217,Granis,1,0
216,Gavinrad,1,0
215,Taelan,1,0
214,Tirion,1,0
213,Tenn,1,0
212,Alonsus,1,0
211,Dalar,1,0
228,Malak,1,0
227,Marn,1,0
226,Doril,1,0
225,Anduin,1,0
224,Shal,1,0
223,Landazar,1,0
222,Khadgar,1,0
221,Jorn,1,0
220,Geros,1,0
237,Sage,1,0
236,Rhonin,1,0
235,Daelin,1,0
234,Moroes,1,0
233,Morlune,1,0
232,Terenas,1,0
231,Arthas,1,0
230,Medivh,1,0
229,Manadar,1,0
247,Zann,1,0
246,Llane,1,0
245,Varien,1,0
244,Uther,1,0
243,Turalyon,1,0
242,Thoras,1,0
241,Aran,1,0
240,Peril,1,0
239,Manos,1,0
238,Duncan,1,0
209,Danath,1,0
207,Conjurus,1,0
205,Barthilas,1,0
203,Sten,1,0
201,Arius,1,0
200,Nielas,1,0
199,Nielas,1,0
450,Aegwynn,1,1
466,Sithaya,1,1
465,Brunhilde,1,1
464,Jorune,1,1
463,April,1,1
462,Kitiara,1,1
461,Samantha,1,1
460,Sarah,1,1
459,Gloriana,1,1
458,Wilhelmina,1,1
470,Sandris,1,1
469,Dierdre,1,1
468,Amora,1,1
467,Andra,1,1
453,Jaina,1,1
454,Maevis,1,1
455,Alexis,1,1
457,Kassandra,1,1
456,Ariandra,1,1
452,Calia,1,1
451,Taretha,1,1
268,Akinos,2,0
309,Rexxar,2,0
308,Rend,2,0
307,Zess,2,0
306,Nikoro,2,0
305,Nazgrel,2,0
304,Mikasa,2,0
303,Mazuru,2,0
302,Maim,2,0
301,Kigami,2,0
326,Zargil,2,0
325,Zuluhed,2,0
324,Yozshura,2,0
323,Morg,2,0
322,Wolfsong,2,0
321,Kagar,2,0
320,Pand,2,0
319,Borr,2,0
318,Warmaul,2,0
317,Kag,2,0
316,Uglaz,2,0
315,Tojara,2,0
314,Thundrax,2,0
313,Thrall,2,0
312,Tagar,2,0
311,Nekros,2,0
310,Samuro,2,0
300,Kazragore,2,0
299,Kalthar,2,0
298,Kajind,2,0
297,Irontusk,2,0
296,Grom,2,0
295,Negal,2,0
294,Guldan,2,0
284,Naz,2,0
283,Doomroar,2,0
282,Orgrim,2,0
281,Dentarg,2,0
280,Kilrogg,2,0
279,Daisho,2,0
278,Kazil,2,0
277,Magis,2,0
276,Clawhand,2,0
293,Gorr,2,0
292,Gardal,2,0
291,Gathras,2,0
290,Foerend,2,0
289,Fenris,2,0
288,Fenrisar,2,0
287,Eitrigg,2,0
286,Durotan,2,0
285,Drekthar,2,0
271,Bale,2,0
272,Blackhand,2,0
273,Kargath,2,0
275,Chogall,2,0
274,Broxxigar,2,0
270,Baelgun,2,0
269,Arashicage,2,0
248,Draka,2,1
267,Germana,2,1
266,Mandiss,2,1
265,Korvis,2,1
264,Misha,2,1
263,Mirsha,2,1
262,Ragos,2,1
261,Jenka,2,1
260,Titania,2,1
259,Galvania,2,1
258,Morisha,2,1
257,Dala,2,1
256,Gaine,2,1
251,Gara,2,1
252,Theg,2,1
253,Markas,2,1
255,Sergra,2,1
254,Sendra,2,1
250,Nekra,2,1
249,Garona,2,1
30,Thorgas,3,0
31,Muradin,3,0
32,Brann,3,0
33,Magni,3,0
37,Huginn,3,0
39,Kelvar,3,0
41,Bor,3,0
43,Grimbooze,3,0
45,Dagath,3,0
49,Thorin,3,0
48,Gimli,3,0
47,Bruenor,3,0
46,Kurdran,3,0
44,Modi,3,0
42,Falstad,3,0
40,Thordin,3,0
38,Muninn,3,0
36,Buri,3,0
35,Bandis,3,0
34,Gar,3,0
4,Mogra,3,1
5,Brunhilde,3,1
6,Valkrist,3,1
7,Aisha,3,1
8,Sif,3,1
9,Eden,3,1
10,Mathra,3,1
11,Omora,3,1
12,Drenn,3,1
13,Kathra,3,1
14,Jann,3,1
15,Maybel,3,1
16,Brushah,3,1
17,Moira,3,1
18,Kate,3,1
19,Kasha,3,1
20,Olga,3,1
21,Helga,3,1
22,Gertrune,3,1
23,Gudrune,3,1
24,Frigga,3,1
25,Angerboda,3,1
26,Einherjar,3,1
27,Freya,3,1
28,Leia,3,1
29,Padme,3,1
98,KaelThas,4,0
101,Elrond,4,0
102,Gilthanas,4,0
100,Legolas,4,0
99,DathRemar,4,0
103,Porthios,4,0
105,Lorac,4,0
130,Anubris,4,0
129,Centrius,4,0
128,Califax,4,0
127,Bloodwrath,4,0
126,Bandalar,4,0
125,Darkweaver,4,0
124,Dagda,4,0
123,Malorne,4,0
122,Larodar,4,0
147,Oakshield,4,0
146,Ravencrest,4,0
145,Ferun,4,0
144,Staghelm,4,0
143,Desdel,4,0
142,Stareye,4,0
141,Dezarden,4,0
140,Treeguard,4,0
139,Kardol,4,0
153,Sindweller,4,0
152,Shadowsong,4,0
151,Wrathbringer,4,0
150,Ragerunner,4,0
149,Oghma,4,0
