ID,ContinentID,ParentAreaID,Flags,SoundProviderPref,SoundProviderPrefUnderwater,AmbienceID,ZoneMusic,IntroSound,IntroPriority,ExplorationLevel,AreaName_lang[0],FactionGroupMask
327,0,45,0,0,11,0,8,0,0,-1,Faldir's Cove,0
330,0,0,0,0,11,44,0,0,0,-1,Thandol Span,0
331,1,0,0,0,11,29,11,0,0,-1,Ashenvale,0
332,1,0,0,0,11,0,9,0,0,-1,The Great Sea,0
333,0,45,0,0,11,0,0,0,0,38,Circle of East Binding,0
334,0,45,0,0,11,0,0,0,0,38,Circle of West Binding,0
335,0,45,0,0,11,0,0,0,0,38,Circle of Inner Binding,0
336,0,45,0,0,11,0,0,0,0,38,Circle of Outer Binding,0
337,0,3,0,0,11,25,7,0,0,-1,Apocryphan's Rest,0
340,0,3,0,0,11,25,0,0,0,-1,Kargath,0
341,0,3,0,0,11,25,0,0,0,-1,Camp Kosh,0
342,0,3,0,0,11,25,0,0,0,-1,Camp Boff,0
343,0,3,0,0,11,25,0,0,0,-1,Camp Wurg,0
344,0,3,0,0,11,25,0,0,0,-1,Camp Cagg,0
345,0,3,0,0,11,25,7,0,0,-1,Agmond's End,0
346,0,3,0,0,11,25,0,0,0,-1,Hammertoe's Digsite,0
347,0,3,0,0,11,25,0,0,0,-1,Dustbelch Grotto,0
348,0,47,0,0,11,0,1,0,0,-1,Aerie Peak,0
349,0,47,0,0,11,0,1,0,0,-1,Wildhammer Keep,0
350,0,47,0,0,11,0,1,0,0,-1,Quel'Danil Lodge,0
351,0,47,0,0,11,0,1,0,0,-1,Skulk Rock,0
352,0,47,0,0,11,0,1,0,0,-1,Zun'watha,0
353,0,47,0,0,11,0,1,0,0,-1,Shadra'Alor,0
356,0,47,0,0,11,0,1,0,0,-1,Seradane,0
357,1,0,0,0,11,29,3,0,0,-1,Feralas,0
358,1,215,0,0,11,25,9,0,0,4,Brambleblade Ravine,0
359,1,17,0,0,11,0,7,0,0,25,Bael Modan,0
360,1,215,0,0,11,0,9,0,0,7,The Venture Co. Mine,0
361,1,0,0,0,11,28,2,0,0,-1,Felwood,0
362,1,14,0,0,11,0,9,0,0,5,Razor Hill,0
363,1,14,0,0,11,0,9,0,0,0,Valley of Trials,0
364,1,14,0,75,11,0,9,0,0,-1,The Den,0
365,1,14,0,0,11,0,9,0,0,-1,Burning Blade Coven,0
366,1,14,0,0,11,0,9,0,0,7,Kolkar Crag,0
367,1,14,0,0,11,0,9,0,0,6,Sen'jin Village,0
368,1,14,0,0,11,32,3,4514,1,7,Echo Isles,0
369,1,14,0,0,11,0,9,0,0,9,Thunder Ridge,0
370,1,14,0,0,11,0,9,0,0,0,Drygulch Ravine,0
372,1,14,0,0,11,0,9,0,0,6,Tiragarde Keep,0
373,1,14,0,0,11,0,9,0,0,6,Scuttle Coast,0
374,1,14,0,0,11,0,9,0,0,-1,Bladefist Bay,0
375,1,14,0,0,11,0,9,0,0,-1,Deadeye Shore,0
377,1,0,0,0,11,0,9,0,0,9,Southfury River,0
378,1,17,0,0,11,0,7,0,0,10,Camp Taurajo,0
379,1,17,0,0,11,0,7,0,0,10,Far Watch Post,0
380,1,17,0,0,11,0,7,0,0,15,The Crossroads,0
381,1,17,0,0,11,0,0,0,0,-1,Boulder Load Mine,0
383,1,17,0,0,11,0,0,0,0,14,The Dry Hills,0
384,1,17,0,0,11,0,9,0,0,-1,Dreadmist Peak,0
385,1,17,0,0,11,0,0,0,0,-1,Northwatch Hold,0
386,1,17,0,0,11,0,7,0,0,12,The Forgotten Pools,0
388,1,17,0,0,11,0,7,0,0,15,The Stagnant Oasis,0
390,1,17,0,0,11,0,0,0,0,20,Field of Giants,0
391,1,17,0,0,11,0,0,0,0,12,The Merchant Coast,0
392,1,17,0,0,11,0,7,0,0,15,Ratchet,0
393,1,14,0,0,11,0,9,0,0,0,Darkspear Strand,0
394,0,0,0,0,11,30,0,0,0,-1,Darrowmere Lake,0
395,0,394,0,0,11,0,0,0,0,-1,Caer Darrow,0
396,1,215,0,0,11,0,9,0,0,6,Winterhoof Water Well,0
397,1,215,0,0,11,0,9,0,0,7,Thunderhorn Water Well,0
1,0,0,1,0,11,42,8,14,0,-1,Dun Morogh,0
2,0,40,0,0,11,0,9,0,0,-1,Longshore,0
3,0,0,0,0,11,25,7,0,0,-1,Badlands,0
4,0,0,0,0,11,46,7,0,0,-1,Blasted Lands,0
7,0,33,0,0,11,0,3,0,0,-1,Blackwater Cove,0
8,0,0,0,0,11,32,3,1512850505,0,-1,Swamp of Sorrows,0
9,0,12,0,0,11,35,1,0,0,0,Northshire Valley,0
12,0,0,0,0,11,35,1,0,0,-1,Elwynn Forest,0
14,1,0,0,0,11,25,9,14,0,-1,Durotar,0
15,1,0,0,0,11,33,3,1512850505,0,-1,Dustwallow Marsh,0
16,1,0,0,0,11,31,8,0,0,-1,Azshara,0
17,1,0,0,0,11,38,7,1512850505,0,-1,The Barrens,0
18,0,12,0,0,11,35,1,0,0,0,Crystal Lake,0
20,0,40,0,0,11,0,9,0,0,-1,Moonbrook,0
21,0,0,0,0,11,0,8,0,0,-1,Kul Tiras,0
23,0,12,0,0,11,35,0,0,0,-1,Northshire River,0
24,0,12,0,73,11,35,1,4454,1,0,Northshire Abbey,0
25,0,0,0,0,11,46,10,0,0,-1,Blackrock Mountain,0
28,0,0,0,0,11,37,10,0,0,-1,Western Plaguelands,0
30,0,0,0,0,11,0,0,0,0,-1,Nine,0
32,0,10,0,0,11,0,2,0,0,-1,The Cemetary,0
33,0,0,0,0,11,32,3,1512850505,0,-1,Stranglethorn Vale,0
34,0,12,0,0,11,34,1,0,0,8,Echo Ridge Mine,0
35,0,33,0,0,11,0,3,0,0,-1,Booty Bay,0
36,0,0,0,0,11,31,1,0,0,-1,Alterac Mountains,0
37,0,33,0,0,11,0,3,0,0,-1,Lake Nazferiti,0
38,0,0,0,0,11,31,1,0,0,-1,Loch Modan,0
40,0,0,0,0,11,47,9,0,0,-1,Westfall,0
42,0,10,0,0,11,0,2,4514,1,25,Darkshire,0
