Pos[0],Pos[1],Pos[2],Radius,Box_length,Box_width,Box_height,Box_yaw,ContinentID,PhaseID,PhaseGroupID,ShapeID,AreaTriggerActionSetID,PhaseUseFlags,ShapeType,Flags,ID
2924.38,-798.429,161.611,8,0,0,0,0,0,0,0,0,18440,0,0,0,45
47.6135,-28.9462,-8.81759,7,0,0,0,0,24,0,0,0,18441,0,0,0,60
-10645.9,1179.06,48.1781,27,0,0,0,0,0,0,0,0,18442,0,0,0,71
-11208.5,1685.34,25.7612,7,0,0,0,0,0,0,0,0,18443,0,0,0,78
-259.24698,137.75117,36.568306,7,0,0,0,0,28,0,0,0,18444,0,0,0,81
254.5694,-4.322051,6.486521,8,0,0,0,0,28,0,0,0,18445,0,0,0,83
16449.9,16393.2,69.4444,15,0,0,0,0,0,0,0,0,18446,0,0,0,84
-9077.34,-552.925,60.3476,30,0,0,0,0,0,0,0,0,18447,0,0,0,87
-9843.54,127.525,5.3698,10,0,0,0,0,0,0,0,0,18448,0,0,0,88
-409.82812,-802.7708,-13.246962,9,0,0,0,0,30,0,0,0,18449,0,0,0,95
-5660.33,755.299,389.605,15,0,0,0,0,0,0,0,0,18450,0,0,0,97
-11634.8,-54.0697,13.4439,30,0,0,0,0,0,0,0,0,18451,0,0,0,98
2019.3494,1904.3594,105.14445,7,0,0,0,0,0,0,0,0,18452,0,0,0,100
-8761.85,848.557,87.8052,0,4.972,9.694,7.444,0.6632,0,0,0,0,18453,0,0,0,101
-8667.56,623.563,85.4054,7,0,0,0,0,0,0,0,0,18454,0,0,0,107
-0.90042,16.443,-14.236,7,0,0,0,0,35,0,0,0,18455,0,0,0,109
-14.3628,-393.38,64.5605,6,0,0,0,0,36,0,0,0,18456,0,0,0,119
-110.76,-1009.19,34.8044,7,0,0,0,0,36,0,0,0,18457,0,0,0,121
-229.49,1576.35,78.8909,7,0,0,0,0,0,0,0,0,18458,0,0,0,145
-5584.2065,759.83215,384.29016,15,0,0,0,0,0,0,0,0,18459,0,0,0,168
-5586.46,679.298,384.955,8,0,0,0,0,0,0,0,0,18460,0,0,0,169
-5763.72,-3439.58,306.366,50,0,0,0,0,0,0,0,0,18461,0,0,0,171
1058.11,1554.68,-15,90,0,0,0,0,0,0,0,0,18462,0,0,0,173
-4086.36,-2610.95,46.0143,20,0,0,0,0,0,0,0,0,18463,0,0,0,175
683.771,-912.144,174.5,5,0,0,0,0,0,0,0,0,18464,0,0,0,178
-230.953,2105.06,79.7533,5,0,0,0,0,33,0,0,0,18465,0,0,0,194
-12153.621,894.01373,9.538913,80,0,0,0,0,0,0,0,0,18466,0,0,0,196
-9796.18,157.773,25.3878,9,0,0,0,0,0,0,0,0,18467,0,0,0,197
-1895.78,-1109.04,86.183,15,0,0,0,0,1,0,0,0,18468,0,0,0,205
90.1003,-1943.44,79.4727,9,0,0,0,0,1,0,0,0,18469,0,0,0,216
10708.8,762.092,1321.37,14,0,0,0,0,1,0,0,0,18470,0,0,0,217
9859.09,588.761,1300.61,14,0,0,0,0,1,0,0,0,18471,0,0,0,218
9556.24,1654.77,1299.49,14,0,0,0,0,1,0,0,0,18472,0,0,0,219
10675.2,1857.45,1324.17,10,0,0,0,0,1,0,0,0,18473,0,0,0,220
4508.17,373.376,32.5125,40,0,0,0,0,1,0,0,0,18475,0,0,0,223
4605.57,385.158,31.4827,25,0,0,0,0,1,0,0,0,18476,0,0,0,224
4558.36,421.446,33.7425,50,0,0,0,0,1,0,0,0,18477,0,0,0,225
-172.181,138.98,-66.6471,12,0,0,0,0,43,0,0,0,18478,0,0,0,226
-753.596,-2212.78,21.5403,13,0,0,0,0,1,0,0,0,18479,0,0,0,228
6744.98,41.1164,47.6041,13,0,0,0,0,1,0,0,0,18480,0,0,0,230
5996.56,365.21,21.8661,40,0,0,0,0,1,0,0,0,18481,0,0,0,231
5980.17,330.669,21.7655,40,0,0,0,0,1,0,0,0,18482,0,0,0,232
4916.99,328.43,36.7678,50,0,0,0,0,1,0,0,0,18483,0,0,0,233
4641.19,55.3801,66.6307,60,0,0,0,0,1,0,0,0,18484,0,0,0,234
4554.65,146.354,59.5027,70,0,0,0,0,1,0,0,0,18485,0,0,0,235
4643.38,145.349,57.9047,50,0,0,0,0,1,0,0,0,18486,0,0,0,236
4504.31,32.3296,86.4913,80,0,0,0,0,1,0,0,0,18487,0,0,0,237
6876.28,-486.029,40.1436,65,0,0,0,0,1,0,0,0,18488,0,0,0,238
3469.43,847.62,5.36476,12,0,0,0,0,1,0,0,0,18489,0,0,0,239
1936.39,1534.47,86.8769,8,0,0,0,0,47,0,0,0,18490,0,0,0,242
-4456.7,-1655.99,86.1095,8,0,0,0,0,1,0,0,0,18491,0,0,0,244
-4932.53,-1596.05,84.8157,20,0,0,0,0,1,0,0,0,18492,0,0,0,246
-236.47,2202.42,97.3452,5,0,0,0,0,33,0,0,0,18494,0,0,0,254
-223.399,2101.97,97.3899,5,0,0,0,0,33,0,0,0,18495,0,0,0,255
-189.006,2145.69,97.3899,7,0,0,0,0,33,0,0,0,18496,0,0,0,256
4252.37,756.974,-23.0632,12,0,0,0,0,1,0,0,0,18497,0,0,0,257
-148.633,121.08,-33.4141,12,0,0,0,0,48,0,0,0,18498,0,0,0,259
2019.73,2004.6,61.6874,15,0,0,0,0,47,0,0,0,18500,0,0,0,262
-527.658,321.109,-50.2584,20,0,0,0,0,48,0,0,0,18503,0,0,0,283
-8681.37,434.406,99.2579,7,0,0,0,0,0,0,0,0,18504,0,0,0,284
-6053.73,-2954.63,213.686,10,0,0,0,0,0,0,0,0,18505,0,0,0,286
-228.193,34.1602,-39.2339,10,0,0,0,0,70,0,0,0,18506,0,0,0,288
-3463.26,-4123.13,17.1043,8,0,0,0,0,1,0,0,0,18507,0,0,0,302
-4058.75,-2732.54,35.3301,10,0,0,0,0,1,0,0,0,18508,0,0,0,303
-312.205,-4.63256,-148.657,14,0,0,0,0,90,0,0,0,18509,0,0,0,322
-5161.33,939.623,258.288,10,0,0,0,0,0,0,0,0,18510,0,0,0,324
-9029.174,-608.32886,56.4679,30,0,0,0,0,0,0,0,0,18511,0,0,0,342
-10429.435,-3828.8408,-31.629646,150,0,0,0,0,0,0,0,0,18512,0,0,0,362
-8681.4,434.439,99.259,7,0,0,0,0,0,0,0,0,18513,0,0,0,382
-93.1614,1691.15,89.0649,20,0,0,0,0,1,0,0,0,18515,0,0,0,422
-4666.52,-2536.82,86.9671,10,0,0,0,0,1,0,0,0,18516,0,0,0,442
2593.94,1124.64,56.179,11,0,0,0,0,129,0,0,0,18517,0,0,0,444
-10162.7,-3998.65,-107.978,11,0,0,0,0,0,0,0,0,18518,0,0,0,446
-300,99,-127,13,0,0,0,0,109,0,0,0,18519,0,0,0,448
2107.72,1823.77,79.9696,10,0,0,0,0,47,0,0,0,18529,0,0,0,462
2165.75,1944.75,61.4635,15,0,0,0,0,47,0,0,0,18530,0,0,0,463
-8932.78,-1986.4,139.905,12,0,0,0,0,0,0,0,0,18531,0,0,0,482
39.3741,0.803469,-12.7883,8,0,0,0,0,34,0,0,0,18532,0,0,0,503
-1679.3,-4328.96,2.58591,4,0,0,0,0,1,0,0,0,18533,0,0,0,522
-4858.27,785.03,241.06,12,0,0,0,0,0,0,0,0,18534,0,0,0,523
-717.868,1.37207,-241.293,12,0,0,0,0,90,0,0,0,18535,0,0,0,525
9947.48,2630.04,1318.6,10,0,0,0,0,1,0,0,0,18536,0,0,0,527
8799.41,969.787,30.2409,10,0,0,0,0,1,0,0,0,18537,0,0,0,542
-9465.58,16.8472,65.921,30,0,0,0,0,0,0,0,0,18538,0,0,0,562
1687.57,1040.09,20.9829,8,0,0,0,0,189,0,0,0,18539,0,0,0,602
853.679,1308.1,19.6714,8,0,0,0,0,189,0,0,0,18540,0,0,0,604
1608.65,-308.97,20.7824,8,0,0,0,0,189,0,0,0,18541,0,0,0,606
253.601,-196.804,21.0385,8,0,0,0,0,189,0,0,0,18542,0,0,0,608
