ID,ChrRacesID,Sex,OptionID,Data,ChrCustomizationChoiceID,DependentOptionID,DependentData
9932,1,0,1,0,17160,0,0
9933,1,0,1,1,17161,0,0
9934,1,0,1,2,17162,0,0
9935,1,0,1,3,17163,0,0
9936,1,0,1,4,17164,0,0
9937,1,0,1,5,17165,0,0
9938,1,0,1,6,17166,0,0
9939,1,0,1,7,17167,0,0
9940,1,0,1,8,17168,0,0
9941,1,0,1,9,17169,0,0
9942,1,0,1,10,17170,0,0
9943,1,0,1,11,17171,0,0
9944,1,0,1,12,28305,0,0
9945,1,0,1,13,28306,0,0
9946,1,0,1,14,28307,0,0
9947,1,0,2,0,17172,0,0
9948,1,0,2,1,17173,0,0
9949,1,0,2,2,17174,0,0
9950,1,0,2,3,17175,0,0
9951,1,0,2,4,17176,0,0
9952,1,0,2,5,17177,0,0
9953,1,0,2,6,17178,0,0
9954,1,0,2,7,17179,0,0
9955,1,0,2,8,17180,0,0
9956,1,0,2,9,17181,0,0
9957,1,0,2,10,17182,0,0
9958,1,0,2,11,17183,0,0
9959,1,0,2,12,28308,0,0
9960,1,0,2,13,28309,0,0
9961,1,0,2,14,28310,0,0
9962,1,0,2,15,28311,0,0
9963,1,0,2,16,28312,0,0
9964,1,0,2,17,28313,0,0
9965,1,0,2,18,28314,0,0
9966,1,0,2,19,28315,0,0
9967,1,0,2,20,28316,0,0
9968,1,0,2,21,28317,0,0
9969,1,0,2,22,28318,0,0
9970,1,0,2,23,28319,0,0
9971,1,0,3,0,17184,0,0
9972,1,0,3,1,17185,0,0
9973,1,0,3,2,17186,0,0
9974,1,0,3,3,17187,0,0
9975,1,0,3,4,17188,0,0
9976,1,0,3,5,17189,0,0
9977,1,0,3,6,17190,0,0
9978,1,0,3,7,17191,0,0
9979,1,0,3,8,17192,0,0
9980,1,0,3,9,17193,0,0
9981,1,0,3,10,17194,0,0
9982,1,0,3,11,17195,0,0
9983,1,0,3,12,28320,0,0
9984,1,0,3,13,28321,0,0
9985,1,0,3,14,28322,0,0
9986,1,0,3,15,28323,0,0
9987,1,1,1,0,17215,0,0
9988,1,1,1,1,17216,0,0
9989,1,1,1,2,17217,0,0
9990,1,1,1,3,17218,0,0
9991,1,1,1,4,17219,0,0
9992,1,1,1,5,17220,0,0
9993,1,1,1,6,17221,0,0
9994,1,1,1,7,17222,0,0
9995,1,1,1,8,17223,0,0
9996,1,1,1,9,17224,0,0
