ID,PathID,NodeIndex,ContinentID,Loc[0],Loc[1],Loc[2],Flags,Delay
5305,4,0,0,16367.266,16405.555,58.93912,0,1
5306,4,1,0,16372.207,16388.916,78.45795,0,2
5307,4,2,0,16407.83,16349.069,77.86115,0,3
35,6,0,0,-8851.658,498.55176,111.25602,0,0
36,6,1,0,-8869.408,486.3725,116.43289,0,0
37,6,2,0,-8910.191,492.7283,121.82286,0,0
38,6,3,0,-8929.265,496.01672,108.56632,0,0
39,6,4,0,-8965.773,509.5316,106.35008,0,0
40,6,5,0,-9032.239,459.37738,102.82925,0,0
41,6,6,0,-9095.138,412.07455,104.17197,0,0
42,6,7,0,-9187.968,419.6543,94.614655,0,0
43,6,8,0,-9274.572,423.6273,84.52587,0,0
44,6,9,0,-9380.047,432.53256,66.34562,0,0
45,6,10,0,-9451.38,386.52017,55.456482,0,0
46,6,11,0,-9524.628,368.0678,52.402283,0,0
47,6,12,0,-9601.133,407.54004,52.476254,0,0
48,6,13,0,-9686.165,469.8009,40.71203,0,0
2918,6,14,0,-9734.622,552.1639,39.323143,0,0
2919,6,15,0,-9742.765,621.3524,37.924843,0,0
2920,6,16,0,-9790.908,641.0512,44.374607,0,0
2921,6,17,0,-9847.742,632.78546,44.148697,0,0
2922,6,18,0,-9941.953,634.8231,44.329136,0,0
2923,6,19,0,-10000.455,691.7059,38.249725,0,0
2924,6,20,0,-10034.645,787.49335,31.297611,0,0
2925,6,21,0,-10054.439,872.94507,42.68251,0,0
2926,6,22,0,-10139.359,931.7116,46.93581,0,0
2927,6,23,0,-10255.112,986.27136,39.568214,0,0
2928,6,24,0,-10310.584,1070.4471,51.851315,0,0
2929,6,25,0,-10364.251,1112.3981,43.3155,0,0
2930,6,26,0,-10489.653,1100.4762,59.453438,0,0
2931,6,27,0,-10588.319,1075.879,47.026142,0,0
2932,6,28,0,-10629.065,1039.4456,37.954334,0,0
68,7,0,0,-10628.539,1040.069,37.98302,0,0
69,7,1,0,-10609.965,1097.7782,43.05283,0,0
70,7,2,0,-10504.487,1142.775,52.092537,0,0
71,7,3,0,-10424.17,1068.1085,58.97522,0,0
72,7,4,0,-10308.546,1046.8541,58.327713,0,0
73,7,5,0,-10210.656,931.04504,58.41953,0,0
74,7,6,0,-10184.708,811.82556,43.814114,0,0
75,7,7,0,-10197.823,634.4207,30.076761,0,0
76,7,8,0,-10174.336,554.7805,29.162828,0,0
77,7,9,0,-10100.252,513.25323,32.325184,0,0
78,7,10,0,-9946.887,506.59875,37.318863,0,0
79,7,11,0,-9881.448,524.3186,37.4745,0,0
80,7,12,0,-9814.705,523.4794,37.575493,0,0
81,7,13,0,-9756.677,540.9895,43.89014,0,0
82,7,14,0,-9709.989,517.1216,45.58359,0,0
83,7,15,0,-9690.506,464.96448,40.528168,0,0
84,7,16,0,-9599.503,406.55328,44.54248,0,0
85,7,17,0,-9534.183,366.77512,60.369167,0,0
86,7,18,0,-9466.773,373.82407,60.3195,0,0
87,7,19,0,-9382.392,409.6632,60.615738,0,0
88,7,20,0,-9304.599,423.20715,79.61829,0,0
89,7,21,0,-9235.62,401.15762,89.32736,0,0
90,7,22,0,-9163.308,364.07846,101.01404,0,0
91,7,23,0,-9081.481,424.17593,104.52757,0,0
92,7,24,0,-9028.008,449.25668,108.24116,0,0
2934,7,25,0,-8956.796,440.28494,109.38577,0,0
2935,7,26,0,-8873.913,456.87222,112.7447,0,0
2936,7,27,0,-8833.164,479.76254,110.17893,0,0
119,8,0,0,-9429.281,-2236.275,72.596664,0,0
120,8,1,0,-9460.893,-2250.673,81.71274,0,0
121,8,2,0,-9507.948,-2244.839,97.67113,0,0
122,8,3,0,-9543.871,-2197.8706,101.94851,0,0
123,8,4,0,-9606.379,-2086.054,77.63744,0,0
124,8,5,0,-9555.001,-2000.3033,80.11665,0,0
125,8,6,0,-9632.947,-1875.7179,84.19599,0,0
126,8,7,0,-9625.083,-1769.7863,109.45543,0,0
127,8,8,0,-9693.008,-1586.1873,131.61775,0,0
128,8,9,0,-9805.718,-1424.0239,111.90916,0,0
129,8,10,0,-9674.998,-1306.9131,118.97186,0,0
130,8,11,0,-9575.312,-1177.973,128.8013,0,0
131,8,12,0,-9488.233,-943.34875,146.16075,0,0
132,8,13,0,-9449.529,-726.40356,154.39247,0,0
133,8,14,0,-9487.82,-427.29953,135.64604,0,0
134,8,15,0,-9493.372,-158.43642,139.54643,0,0
135,8,16,0,-9434.496,35.742622,145.19397,0,0
136,8,17,0,-9275.11,257.53592,166.58817,0,0
137,8,18,0,-9085.025,416.66205,144.44019,0,0
138,8,19,0,-9000.605,466.97797,130.1493,0,0
2937,8,20,0,-8915.152,451.30923,116.3766,0,0
2938,8,21,0,-8858.957,464.1838,113.69175,0,0
2939,8,22,0,-8834.746,478.6359,110.17013,0,0
176,9,0,0,-8851.029,497.57205,111.34193,0,0
177,9,1,0,-8870.239,483.14355,115.77393,0,0
178,9,2,0,-8923.743,449.3642,116.74873,0,0
179,9,3,0,-8977.937,477.84512,111.4504,0,0
180,9,4,0,-9014.35,474.6879,106.53977,0,0
181,9,5,0,-9089.405,415.4068,104.16368,0,0
182,9,6,0,-9173.837,335.67368,87.59055,0,0
183,9,7,0,-9184.427,245.02556,77.02562,0,0
184,9,8,0,-9255.013,159.84842,71.704254,0,0
185,9,9,0,-9319.606,136.53082,68.6329,0,0
186,9,10,0,-9446.758,70.67426,64.40973,0,0
187,9,11,0,-9487.403,64.051544,64.0828,0,0
188,9,12,0,-9516.974,12.833225,60.35879,0,0
189,9,13,0,-9544.91,-53.520508,64.73038,0,0
2888,9,14,0,-9550.932,-130.85742,61.455566,0,0
2889,9,15,0,-9578.581,-215.26768,67.14768,0,0
2890,9,16,0,-9619.0625,-306.64215,65.37114,0,0
2891,9,17,0,-9614.767,-418.21246,65.512054,0,0
2892,9,18,0,-9588.6455,-480.52246,65.73279,0,0
2893,9,19,0,-9617.513,-559.99146,62.446358,0,0
2894,9,20,0,-9631.188,-641.29407,54.762764,0,0
2895,9,21,0,-9656.275,-742.0374,52.57537,0,0
2896,9,22,0,-9645.349,-801.5608,51.512882,0,0
2897,9,23,0,-9585.63,-867.9379,47.73647,0,0
2898,9,24,0,-9590.528,-937.4043,47.683582,0,0
2899,9,25,0,-9622.564,-995.97784,50.53008,0,0
2900,9,26,0,-9636.569,-1074.7838,52.40546,0,0
2901,9,27,0,-9618.685,-1142.4783,50.846695,0,0
2902,9,28,0,-9644.31,-1218.887,47.896336,0,0
2903,9,29,0,-9659.287,-1317.5295,55.956875,0,0
2904,9,30,0,-9670.286,-1393.9576,60.64715,0,0
2905,9,31,0,-9648.987,-1498.8713,61.56863,0,0
2906,9,32,0,-9627.7,-1536.1024,60.993633,0,0
2907,9,33,0,-9641.589,-1587.7025,63.198418,0,0
2908,9,34,0,-9617.107,-1675.2106,63.89262,0,0
2909,9,35,0,-9611.807,-1749.5913,64.02197,0,0
2910,9,36,0,-9619.329,-1820.623,60.135147,0,0
2911,9,37,0,-9583.854,-1913.1202,70.65507,0,0
2912,9,38,0,-9529.08,-1970.1699,86.40647,0,0
2913,9,39,0,-9496.895,-2019.1725,103.22569,0,0
2914,9,40,0,-9493.757,-2051.939,109.98573,0,0
2915,9,41,0,-9453.822,-2120.2656,82.66793,0,0
2916,9,42,0,-9418.244,-2207.4233,73.14126,0,0
2917,9,43,0,-9431.67,-2238.5696,72.79369,0,0
