ID,Text
49,씨퐁 보 지
50,씨퐁 보지
51,씨퐁 자 지
52,씨퐁 자지
53,씨퐁넘
54,씨퐁뇬
55,씨퐁보 지
56,씨퐁보지
57,씨퐁자 지
58,씨퐁자지
59,씹 년
60,씹 물
61,씹 보 지
62,씹 보지
63,씹 부 랄
64,씹 부랄
65,씹 빵 구
66,씹 빵구
67,씹 뽀 지
68,씹 뽀지
69,씹 새
70,씹 새 끼
71,씹 새끼
72,씹 세
73,씹 쌔 끼
74,씹 쌔끼
75,씹 자 지
76,씹 자지
77,씹 지 랄
78,씹 지랄
79,씹 창
80,씹 탱
81,씹 탱 이
82,씹 탱이
83,씹년
84,씹물
85,씹미랄
86,씹버지
87,씹보 지
88,씹보지
89,씹부 랄
90,씹부랄
91,씹브랄
92,씹빵 구
93,씹빵구
94,씹뽀 지
95,씹뽀지
96,씹새
97,씹새 끼
98,씹새끼
99,씹세
100,씹쌔 끼
101,씹쌔끼
102,씹자 지
103,씹자석
104,씹자슥
105,씹자지
106,씹지 랄
107,씹지랄
108,씹창
109,씹창녀
110,씹탱
111,씹탱 이
112,씹탱굴이
113,씹탱이
114,씹팔
115,아가리
116,애 무
117,애 미
118,애 비
119,애무
120,애미
121,애미랄
122,애미보지
123,애미씨뱅
124,애미자지
125,애미잡년
126,애미좃물
127,애비
128,양 아 치
129,양 아치
130,양귀비
131,양아 치
132,양아치
133,양키
134,어미강간
135,어미따먹자
136,어미쑤시자
137,엄 창
138,엄창
139,에미
140,에비
141,염 병
142,염 병 할
143,염 병할
144,염 뵹
145,염병
146,염병 할
147,염병할
148,염뵹
149,엿
150,엿 먹 어 라
151,엿 먹 어라
152,엿먹 어 라
153,엿먹 어라
154,엿먹어 라
155,엿먹어라
156,영자개새끼
157,영자새끼
158,영자씨발놈
159,오 르 가 즘
160,오르가즘
161,왕버지
162,왕자지
163,왕잠지
164,왕털버지
165,왕털보지
166,왕털자지
167,왕털잠지
168,요 년
169,요년
170,우미쑤셔
171,유  방
172,유 두
173,유 방
174,유두
175,유두빨어
176,유두핥어
177,유두핧어
178,유발 조물락
179,유방
180,유방 만져
181,유방 빨아
182,유방 조물락
183,유방 주물럭
184,유방 쪼물딱
185,유방 쪼물럭
186,유방 핧아
187,유방 핧어
188,유방만져
189,유방빨아
190,유방조물락
191,유방주물럭
