ID,TransportID,TimeIndex,Pos[0],Pos[1],Pos[2]
86,2074,0,0,0,0
87,2074,1033,0,10.087038,-1.1E-05
88,2074,1767,0,16.749023,0.528741
89,2074,2500,0,24.745222,1.56538
90,2074,3333,0,0,0
135,2093,0,0,0,0
136,2093,4400,0,0,66.73496
137,2093,6167,0,0,66.73496
138,2093,9967,0,0,0
139,2093,11933,0,0,0
165,2565,0,0,0,0
166,2565,1333,-10.087038,0,-1.1E-05
167,2565,2800,-16.749023,0,0.528741
168,2565,4233,-24.745222,0,1.56538
169,2565,6633,0,0,0
19592,4170,0,0,0,0
19593,4170,5000,0,0,0
19594,4170,6100,2E-06,-2E-06,-1.754786
19595,4170,6933,5E-06,-5E-06,-5.176656
19596,4170,12867,2E-06,-2E-06,-56.811295
19597,4170,13833,2E-06,-2E-06,-59.846
19598,4170,15000,2E-06,-2E-06,-61.244316
19599,4170,20000,2E-06,-2E-06,-61.244316
19600,4170,21333,0,0,-59.833206
19601,4170,22233,0,0,-56.73523
19602,4170,28133,0,0,-5.24749
19603,4170,28800,0,0,-1.585038
19604,4170,30033,0,0,0
19605,4171,0,0,0,0
19606,4171,5000,0,0,0
19607,4171,5900,0,0,1.201138
19608,4171,6667,0,0,4.690253
19609,4171,10567,0,3E-06,32.550922
19610,4171,13100,0,3E-06,53.467518
19611,4171,14067,0,3E-06,59.584812
19612,4171,15000,0,3E-06,61.498127
19613,4171,20000,0,3E-06,61.498127
19614,4171,21000,0,3E-06,59.549297
19615,4171,21800,0,3E-06,54.27323
19616,4171,25267,0,3E-06,29.10911
19617,4171,27933,0,0,8.591193
19618,4171,28967,0,0,1.968553
19619,4171,30000,0,0,0
227,4172,0,0,0,0
228,4172,5000,0,0,0
229,4172,6100,2E-06,-2E-06,-1.754786
230,4172,6933,5E-06,-5E-06,-5.176656
231,4172,12867,2E-06,-2E-06,-56.811295
232,4172,13833,2E-06,-2E-06,-59.846
233,4172,15000,2E-06,-2E-06,-61.244316
234,4172,20000,2E-06,-2E-06,-61.244316
235,4172,21333,0,0,-59.833206
236,4172,22233,0,0,-56.73523
237,4172,28133,0,0,-5.24749
238,4172,28800,0,0,-1.585038
239,4172,30033,0,0,0
240,4173,0,0,0,0
241,4173,5000,0,0,0
242,4173,5900,0,0,1.201138
243,4173,6667,0,0,4.690253
244,4173,10567,-3E-06,2E-06,32.550922
245,4173,13100,-3E-06,2E-06,53.467518
246,4173,14067,-3E-06,2E-06,59.584812
247,4173,15000,-3E-06,2E-06,61.498127
248,4173,20000,-3E-06,2E-06,61.498127
249,4173,21000,-3E-06,2E-06,59.549297
250,4173,21800,-3E-06,2E-06,54.27323
251,4173,25267,-3E-06,2E-06,29.10911
252,4173,27933,0,0,8.591193
253,4173,28967,0,0,1.968553
254,4173,30000,0,0,0
19712,11898,0,0,0,0
19713,11898,5000,0,0,0
19714,11898,6100,3E-06,-1E-06,-1.754788
19715,11898,6867,6E-06,-2E-06,-5.176656
19716,11898,12867,7E-06,-1E-06,-124.86685
19717,11898,13833,7E-06,-1E-06,-127.90156
19718,11898,15000,7E-06,-1E-06,-129.29988
19719,11898,20000,7E-06,-1E-06,-129.29988
19720,11898,21333,4E-06,0,-127.88876
19721,11898,22233,4E-06,0,-124.79079
19722,11898,28133,0,0,-5.247491
19723,11898,28800,0,0,-1.585036
19724,11898,30000,0,0,0
