ID,TransportID,TimeIndex,Pos[0],Pos[1],Pos[2],SequenceID
86,2074,0,0,0,0,87
87,2074,1033,0,10.087038,-1.1E-05,88
88,2074,1767,0,16.749023,0.528741,89
89,2074,2500,0,24.745222,1.56538,90
90,2074,3333,0,0,0,135
135,2093,0,0,0,0,136
136,2093,4400,0,0,66.73496,137
137,2093,6167,0,0,66.73496,138
138,2093,9967,0,0,0,139
139,2093,11933,0,0,0,165
165,2565,0,0,0,0,166
166,2565,1333,-10.087038,0,-1.1E-05,167
167,2565,2800,-16.749023,0,0.528741,168
168,2565,4233,-24.745222,0,1.56538,169
169,2565,6633,0,0,0,19592
19592,4170,0,0,0,0,19593
19593,4170,5000,0,0,0,19594
19594,4170,6100,2E-06,-2E-06,-1.754786,19595
19595,4170,6933,5E-06,-5E-06,-5.176656,19596
19596,4170,12867,2E-06,-2E-06,-56.811295,19597
19597,4170,13833,2E-06,-2E-06,-59.846,19598
19598,4170,15000,2E-06,-2E-06,-61.244316,19599
19599,4170,20000,2E-06,-2E-06,-61.244316,19600
19600,4170,21333,0,0,-59.833206,19601
19601,4170,22233,0,0,-56.73523,19602
19602,4170,28133,0,0,-5.24749,19603
19603,4170,28800,0,0,-1.585038,19604
19604,4170,30033,0,0,0,19605
19605,4171,0,0,0,0,19606
19606,4171,5000,0,0,0,19607
19607,4171,5900,0,0,1.201138,19608
19608,4171,6667,0,0,4.690253,19609
19609,4171,10567,0,3E-06,32.550922,19610
19610,4171,13100,0,3E-06,53.467518,19611
19611,4171,14067,0,3E-06,59.584812,19612
19612,4171,15000,0,3E-06,61.498127,19613
19613,4171,20000,0,3E-06,61.498127,19614
19614,4171,21000,0,3E-06,59.549297,19615
19615,4171,21800,0,3E-06,54.27323,19616
19616,4171,25267,0,3E-06,29.10911,19617
19617,4171,27933,0,0,8.591193,19618
19618,4171,28967,0,0,1.968553,19619
19619,4171,30000,0,0,0,227
227,4172,0,0,0,0,228
228,4172,5000,0,0,0,229
229,4172,6100,2E-06,-2E-06,-1.754786,230
230,4172,6933,5E-06,-5E-06,-5.176656,231
231,4172,12867,2E-06,-2E-06,-56.811295,232
232,4172,13833,2E-06,-2E-06,-59.846,233
233,4172,15000,2E-06,-2E-06,-61.244316,234
234,4172,20000,2E-06,-2E-06,-61.244316,235
235,4172,21333,0,0,-59.833206,236
236,4172,22233,0,0,-56.73523,237
237,4172,28133,0,0,-5.24749,238
238,4172,28800,0,0,-1.585038,239
239,4172,30033,0,0,0,240
240,4173,0,0,0,0,241
241,4173,5000,0,0,0,242
242,4173,5900,0,0,1.201138,243
243,4173,6667,0,0,4.690253,244
244,4173,10567,-3E-06,2E-06,32.550922,245
245,4173,13100,-3E-06,2E-06,53.467518,246
246,4173,14067,-3E-06,2E-06,59.584812,247
247,4173,15000,-3E-06,2E-06,61.498127,248
248,4173,20000,-3E-06,2E-06,61.498127,249
249,4173,21000,-3E-06,2E-06,59.549297,250
250,4173,21800,-3E-06,2E-06,54.27323,251
251,4173,25267,-3E-06,2E-06,29.10911,252
252,4173,27933,0,0,8.591193,253
253,4173,28967,0,0,1.968553,254
254,4173,30000,0,0,0,19712
19712,11898,0,0,0,0,19713
19713,11898,5000,0,0,0,19714
19714,11898,6100,3E-06,-1E-06,-1.754788,19715
19715,11898,6867,6E-06,-2E-06,-5.176656,19716
19716,11898,12867,7E-06,-1E-06,-124.86685,19717
19717,11898,13833,7E-06,-1E-06,-127.90156,19718
19718,11898,15000,7E-06,-1E-06,-129.29988,19719
19719,11898,20000,7E-06,-1E-06,-129.29988,19720
19720,11898,21333,4E-06,0,-127.88876,19721
19721,11898,22233,4E-06,0,-124.79079,19722
19722,11898,28133,0,0,-5.247491,19723
19723,11898,28800,0,0,-1.585036,19724
19724,11898,30000,0,0,0,19725
19725,11898,30033,4E-06,0,-68.05556,19726
19726,11899,0,0,0,0,19727
19727,11899,5000,0,0,0,19728
19728,11899,5900,0,0,1.201138,19729
19729,11899,6667,0,0,4.690253,19730
19730,11899,13100,-5E-06,-1E-06,121.52307,19731
19731,11899,14067,-5E-06,-1E-06,127.64036,19732
19732,11899,15000,-5E-06,-1E-06,129.55368,19733
19733,11899,20000,-5E-06,-1E-06,129.55368,19734
19734,11899,21000,-5E-06,-1E-06,127.60484,19735
19735,11899,21800,-5E-06,-1E-06,122.32879,19736
19736,11899,27933,0,0,8.591193,19737
19737,11899,28967,0,0,1.968553,19738
19738,11899,30000,0,0,0,26876
26876,20649,0,0,0,0,26877
26877,20649,1833,0,0,-55.46577,26878
26878,20649,6833,0,0,-55.46577,26879
26879,20649,10333,0,0,41.035614,26880
26880,20649,15167,0,0,41.035614,26881
26881,20649,16667,0,0,0,26882
26882,20650,0,0,0,0,26883
26883,20650,10333,0,0,-1E-05,26884
26884,20650,10500,0,0,4.650018,26885
26885,20650,14833,0,0,4.650018,26886
26886,20650,15000,0,0,0,26887
26887,20650,16667,0,0,0,26888
26888,20651,0,0,0,0,26889
26889,20651,1833,0,0,0,26890
26890,20651,2000,0,0,8.130338,26891
26891,20651,6667,0,0,8.130338,26892
26892,20651,6833,0,0,0,26893
26893,20651,16667,0,0,0,26894
26894,20652,0,0,0,0,26895
26895,20652,167,0,0,0,26896
26896,20652,3667,0,0,96.50138,26897
26897,20652,8500,0,0,96.50138,26898
26898,20652,11833,0,0,0,26899
26899,20652,16667,0,0,0,26900
26900,20653,0,0,0,0,26901
26901,20653,3667,0,0,-1E-05,26902
26902,20653,3833,0,0,4.650018,26903
26903,20653,8167,0,0,4.650018,26904
26904,20653,8333,0,0,0,26905
26905,20653,16667,0,0,0,26906
26906,20654,0,0,0,0,26907
26907,20654,11667,0,0,0,26908
26908,20654,11833,0,0,8.130338,26909
26909,20654,16500,0,0,8.130338,26910
26910,20654,16667,0,0,0,26911
26911,20655,0,0,0,0,26912
26912,20655,167,0,0,0,26913
26913,20655,3500,0,0,0,26914
26914,20655,7000,0,0,96.50138,26915
26915,20655,11833,0,0,96.50138,26916
26916,20655,15167,0,0,0,26917
26917,20655,16667,0,0,0,26918
