ID,Directory,PVP,MapName_lang,MinLevel,MaxLevel,Unk0,Unk1,Unk2,Unk3,Unk4,Unk5,Unk6
429,DireMaul,0,Dire Maul,0,0,0,0,0,0,0,2031646,0
169,EmeraldDream,0,Emerald Dream,0,0,0,0,0,0,0,2031646,0
209,TanarisInstance,0,Zul'farrak,0,0,0,0,0,0,0,2031646,0
309,Zul'gurub,0,Zul'gurub,0,0,0,0,0,0,0,2031646,0
329,Stratholme,0,Stratholme,0,0,0,0,0,0,0,2031646,0
369,DeeprunTram,0,Deeprun Tram,0,0,0,0,0,0,0,2031646,0
389,OrgrimmarInstance,0,OrgrimmarInstance,0,0,0,0,0,0,0,2031630,0
0,Azeroth,0,Eastern Kingdoms,0,0,0,0,0,0,0,2031646,0
1,Kalimdor,0,Kalimdor,0,0,0,0,0,0,0,8323102,0
13,test,0,Testing,0,0,0,0,0,0,0,8323102,0
25,ScottTest,0,Scott Test,0,0,0,0,0,0,0,8323102,0
29,Test,0,CashTest,0,0,0,0,0,0,0,8323102,0
30,PVPZone01,1,Alterac Valley,0,0,0,0,0,0,0,983070,51
33,Shadowfang,0,Shadowfang,0,0,0,0,0,0,0,8323102,0
34,StormwindJail,0,StormwindJail,0,0,0,0,0,0,0,8323102,0
35,StormwindPrison,0,StormwindPrison,0,0,0,0,0,0,0,8323102,0
36,DeadminesInstance,0,DeadminesInstance,0,0,0,0,0,0,0,8323102,0
37,PVPZone02,1,PVPZone02,0,0,0,0,0,0,0,8323102,10
42,Collin,0,Collin's Test,0,0,0,0,0,0,0,8323102,0
43,WailingCaverns,0,WailingCavernsInstance,0,0,0,0,0,0,0,8323102,0
44,Monastery,0,MonasteryInterior,0,0,0,0,0,0,0,8323102,0
47,RazorfenKraulInstance,0,RazorfenKraul,0,0,0,0,0,0,0,8323102,0
48,Blackfathom,0,Blackfathom Instance,0,0,0,0,0,0,0,8323102,0
109,SunkenTemple,0,SunkenTempleInstance,0,0,0,0,0,0,0,8323086,0
70,Uldaman,0,Uldaman Instance,0,0,0,0,0,0,0,8323102,0
90,GnomeragonInstance,0,GnomeragonInstance,0,0,0,0,0,0,0,8323102,0
129,RazorfenDowns,0,RazorfenDownsInstance,0,0,0,0,0,0,0,8323102,0
249,OnyxiaLairInstance,0,Onyxias Lair Instance,0,0,0,0,0,0,0,2031630,0
289,SchoolofNecromancy,0,School of Necromancy,0,0,0,0,0,0,0,2031646,0
409,MoltenCore,0,Molten Core,0,0,0,0,0,0,0,2031646,0
469,BlackwingLair,0,Blackwing Lair,0,0,0,0,0,0,0,2031646,0
189,MonasteryInstances,0,MonasteryInstances,0,0,0,0,0,0,0,2031646,0
269,CavernsOfTime,0,Caverns of Time,0,0,0,0,0,0,0,2031646,0
229,BlackRockSpire,0,Blackrock Upper Instance,0,0,0,0,0,0,0,2031630,0
230,BlackrockDepths,0,Blackrock Lower Instance,0,0,0,0,0,0,0,2031630,0
349,Mauradon,0,Mauradon,0,0,0,0,0,0,0,2031630,0
449,AlliancePVPBarracks,0,Alliance PVP Barracks,0,0,0,0,0,0,0,2031630,0
450,HordePVPBarracks,0,Horde PVP Barracks,0,0,0,0,0,0,0,2031630,0
451,development,0,Development Land,0,0,0,0,0,0,0,2031630,0
489,,1,PVPZone03,0,0,0,0,0,0,0,2031630,0
